SEASON_1,SEASON_2,TEAM_NAME,PLAYER_NAME,POSITION_GROUP,POSITION,SHOT_MADE,SHOT_TYPE,GAME_DATE,BASIC_ZONE,ZONE_NAME,YEAR
2004,2003-04,Los Angeles Lakers,Kobe Bryant,G,SG,True,3PT Field Goal,04-14-2004,Above the Break 3,Left Side Center,2004
2004,2003-04,Portland Trail Blazers,Damon Stoudamire,G,PG,True,3PT Field Goal,04-14-2004,Above the Break 3,Right Side Center,2004
2004,2003-04,Los Angeles Lakers,Kobe Bryant,G,SG,True,3PT Field Goal,04-14-2004,Above the Break 3,Center,2004
2004,2003-04,Atlanta Hawks,Stephen Jackson,F,SF,True,3PT Field Goal,04-14-2004,Left Corner 3,Left Side,2004
2004,2003-04,Atlanta Hawks,Jason Terry,G,PG,True,3PT Field Goal,04-14-2004,Left Corner 3,Left Side,2004
2004,2003-04,Atlanta Hawks,Stephen Jackson,F,SF,False,3PT Field Goal,04-14-2004,Above the Break 3,Center,2004
2004,2003-04,Atlanta Hawks,Travis Hansen,F,SF,False,3PT Field Goal,04-14-2004,Left Corner 3,Left Side,2004
2004,2003-04,Atlanta Hawks,Jason Terry,G,PG,False,3PT Field Goal,04-14-2004,Above the Break 3,Right Side Center,2004
2004,2003-04,Los Angeles Lakers,Kobe Bryant,G,SG,False,3PT Field Goal,04-14-2004,Above the Break 3,Right Side Center,2004
2004,2003-04,Boston Celtics,Jiri Welsch,G,SG,False,3PT Field Goal,04-14-2004,Above the Break 3,Right Side Center,2004
2004,2003-04,Atlanta Hawks,Stephen Jackson,F,SF,True,3PT Field Goal,04-14-2004,Above the Break 3,Right Side Center,2004
2004,2003-04,Denver Nuggets,Rodney White,F,SF,False,3PT Field Goal,04-14-2004,Above the Break 3,Right Side Center,2004
2004,2003-04,Los Angeles Lakers,Derek Fisher,G,SG,False,3PT Field Goal,04-14-2004,Above the Break 3,Left Side Center,2004
2004,2003-04,Portland Trail Blazers,Derek Anderson,G,SG,False,3PT Field Goal,04-14-2004,Above the Break 3,Left Side Center,2004
2004,2003-04,San Antonio Spurs,Charlie Ward,G,PG,True,3PT Field Goal,04-14-2004,Above the Break 3,Right Side Center,2004
2004,2003-04,Los Angeles Lakers,Gary Payton,G,PG,False,3PT Field Goal,04-14-2004,Above the Break 3,Center,2004
2004,2003-04,Utah Jazz,Raul Lopez,G,PG,False,3PT Field Goal,04-14-2004,Left Corner 3,Left Side,2004
2004,2003-04,Utah Jazz,Sasha Pavlovic,F,SF,False,3PT Field Goal,04-14-2004,Above the Break 3,Right Side Center,2004
2004,2003-04,Atlanta Hawks,Stephen Jackson,F,SF,True,3PT Field Goal,04-14-2004,Above the Break 3,Left Side Center,2004
2004,2003-04,Atlanta Hawks,Travis Hansen,F,SF,False,3PT Field Goal,04-14-2004,Above the Break 3,Left Side Center,2004
