## Golden State Warriors — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Moses Moody	26:16	4	12	0.3	2	7	0.3	0	0	0.0	2	2	4	1	0	1	1	0	10	-13.0
Gui Santos	26:10	5	13	0.4	1	6	0.2	0	0	0.0	1	9	10	2	1	1	4	1	11	-5.0
Quinten Post	27:34	5	12	0.4	3	7	0.4	0	0	0.0	3	2	5	0	0	1	0	2	13	-13.0
Pat Spencer	33:32	4	11	0.4	2	4	0.5	0	0	0.0	2	3	5	6	1	0	4	1	10	-10.0
Brandin Podziemski	27:45	4	13	0.3	0	2	0.0	4	5	0.8	0	7	7	4	0	0	3	2	12	-14.0
Will Richard	28:10	2	9	0.2	0	6	0.0	0	0	0.0	0	2	2	3	6	0	1	1	4	-11.0
Buddy Hield	28:51	2	10	0.2	1	4	0.2	0	2	0.0	0	2	2	3	1	1	1	3	5	-20.0
Gary Payton II	11:52	2	4	0.5	0	2	0.0	0	0	0.0	0	1	1	0	1	0	2	6	4	-20.0
Trayce Jackson-Davis	20:26	3	7	0.4	0	0	0.0	2	4	0.5	2	2	4	1	2	0	2	3	8	-12.0
Malevy Leons	9:22	2	4	0.5	0	1	0.0	2	2	1.0	1	4	5	1	1	0	0	0	6	-7.0

## Minnesota Timberwolves — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jaden McDaniels	30:24	4	9	0.4	2	4	0.5	4	4	1.0	0	3	3	3	0	3	3	1	14	+17.0
Julius Randle	22:50	7	15	0.5	1	6	0.2	3	3	1.0	0	7	7	2	1	0	6	2	18	+13.0
Rudy Gobert	34:59	5	8	0.6	0	0	0.0	5	7	0.7	3	14	17	2	1	2	3	1	15	+22.0
Donte DiVincenzo	31:21	5	10	0.5	5	9	0.6	0	0	0.0	2	2	4	8	1	3	4	1	15	+12.0
Mike Conley	20:35	0	4	0.0	0	4	0.0	2	2	1.0	0	2	2	2	0	1	0	1	2	+11.0
Naz Reid	25:10	6	12	0.5	3	7	0.4	0	0	0.0	1	6	7	3	3	1	3	3	15	+30.0
Bones Hyland	24:44	6	9	0.7	3	4	0.8	2	4	0.5	0	7	7	5	2	0	1	4	17	+19.0
Jaylen Clark	24:43	1	3	0.3	0	0	0.0	2	2	1.0	1	2	3	2	2	0	0	0	4	+15.0
Joan Beringer	9:31	3	8	0.4	0	0	0.0	0	0	0.0	2	2	4	0	0	0	0	2	6	-2.0
Rob Dillingham	5:14	0	2	0.0	0	0	0.0	0	0	0.0	0	1	1	1	1	0	1	0	0	-4.0
Joe Ingles	5:14	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	1	1	0	0	0	0	-4.0
Johnny Juzang	5:14	0	1	0.0	0	1	0.0	2	4	0.5	0	1	1	0	0	0	1	0	2	-4.0
