## Indiana Pacers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Johnny Furphy	18:27	2	5	0.4	0	2	0.0	2	2	1.0	1	4	5	1	2	0	0	2	6	+15.0
Jarace Walker	29:35	4	8	0.5	2	4	0.5	2	2	1.0	2	5	7	3	5	1	3	1	12	0.0
Pascal Siakam	35:14	8	21	0.4	2	9	0.2	8	9	0.9	1	8	9	4	0	3	0	0	26	-3.0
Aaron Nesmith	29:13	6	11	0.5	3	6	0.5	3	4	0.8	0	2	2	4	0	0	3	1	18	+3.0
Andrew Nembhard	30:17	3	10	0.3	0	2	0.0	0	1	0.0	1	4	5	13	1	1	4	1	6	+2.0
Bennedict Mathurin	24:48	6	10	0.6	2	3	0.7	2	3	0.7	0	2	2	1	1	0	1	1	16	-25.0
Micah Potter	19:46	2	8	0.2	0	4	0.0	0	0	0.0	0	5	5	1	1	1	2	2	4	-19.0
T.J. McConnell	18:19	7	11	0.6	0	1	0.0	2	2	1.0	0	1	1	3	1	0	2	1	16	-18.0
Ben Sheppard	14:15	1	3	0.3	0	2	0.0	0	0	0.0	0	0	0	0	0	0	1	1	2	-17.0
Isaiah Jackson	12:19	2	3	0.7	0	0	0.0	0	0	0.0	2	3	5	0	0	1	0	2	4	-12.0
Jay Huff	3:28	1	1	1.0	1	1	1.0	0	0	0.0	0	1	1	1	0	0	0	0	3	-3.0
Kam Jones	1:26	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-1.0
Quenton Jackson	1:26	1	2	0.5	0	1	0.0	1	2	0.5	0	0	0	0	0	0	0	0	3	-1.0
Ethan Thompson	1:26	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-1.0

## Atlanta Hawks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Corey Kispert	16:43	2	8	0.2	0	4	0.0	3	3	1.0	0	0	0	3	0	0	1	1	7	-25.0
Jalen Johnson	34:31	5	19	0.3	1	7	0.1	4	4	1.0	2	5	7	6	4	1	4	1	15	0.0
Onyeka Okongwu	31:16	5	13	0.4	2	6	0.3	0	0	0.0	2	8	10	2	0	1	1	3	12	+7.0
Dyson Daniels	34:39	10	15	0.7	1	3	0.3	1	2	0.5	1	4	5	9	1	1	1	2	22	+2.0
Nickeil Alexander-Walker	34:05	5	13	0.4	5	10	0.5	6	6	1.0	0	3	3	3	3	1	4	3	21	+10.0
CJ McCollum	27:48	9	15	0.6	5	7	0.7	0	0	0.0	1	7	8	7	2	1	2	4	23	+27.0
Christian Koloko	16:44	6	6	1.0	0	0	0.0	0	0	0.0	1	3	4	1	0	3	0	4	12	+9.0
Luke Kennard	23:17	4	4	1.0	3	3	1.0	2	2	1.0	0	2	2	3	0	1	1	1	13	+26.0
Mouhamed Gueye	13:29	3	4	0.8	1	2	0.5	0	0	0.0	2	4	6	1	1	0	0	1	7	+16.0
Vít Krejčí	6:07	0	1	0.0	0	1	0.0	0	0	0.0	0	1	1	0	0	0	0	0	0	+6.0
Keaton Wallace	1:20	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	+2.0
