## Los Angeles Lakers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jake LaRavia	33:25	3	6	0.5	2	4	0.5	0	0	0.0	1	4	5	3	3	0	0	1	8	-9.0
LeBron James	32:52	9	19	0.5	1	4	0.2	5	6	0.8	0	5	5	3	1	0	2	3	24	-14.0
Deandre Ayton	22:06	3	6	0.5	0	0	0.0	0	0	0.0	0	2	2	0	0	0	0	1	6	-15.0
Marcus Smart	32:16	3	6	0.5	1	3	0.3	5	7	0.7	0	2	2	1	1	0	0	4	12	+5.0
Luka Dončić	38:04	15	25	0.6	8	14	0.6	8	12	0.7	0	7	7	12	0	0	3	2	46	+6.0
Jaxson Hayes	22:52	3	4	0.8	0	0	0.0	2	2	1.0	1	3	4	1	1	2	0	2	8	+26.0
Gabe Vincent	12:04	0	2	0.0	0	1	0.0	0	0	0.0	0	1	1	3	0	0	0	0	0	+13.0
Rui Hachimura	29:16	9	11	0.8	4	5	0.8	1	2	0.5	0	2	2	1	1	1	0	1	23	+22.0
Jarred Vanderbilt	16:39	1	3	0.3	0	2	0.0	0	0	0.0	1	6	7	2	0	0	1	1	2	+21.0
Drew Timme	0:23	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0

## Chicago Bulls — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Isaac Okoro	27:46	3	5	0.6	1	2	0.5	0	0	0.0	0	1	1	5	0	0	0	2	7	+10.0
Jalen Smith	36:44	5	7	0.7	3	5	0.6	0	2	0.0	0	7	7	0	1	0	1	3	13	+5.0
Nikola Vučević	36:03	6	10	0.6	1	3	0.3	5	5	1.0	1	10	11	5	1	0	2	2	18	-3.0
Matas Buzelis	22:19	4	8	0.5	2	6	0.3	1	2	0.5	1	4	5	4	0	0	3	2	11	+9.0
Coby White	31:06	8	13	0.6	5	10	0.5	2	2	1.0	0	5	5	6	1	0	4	4	23	+7.0
Kevin Huerter	15:32	0	5	0.0	0	5	0.0	0	0	0.0	0	1	1	1	0	0	0	0	0	-22.0
Dalen Terry	2:57	0	1	0.0	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	2	0	-2.0
Patrick Williams	11:50	3	5	0.6	1	3	0.3	0	0	0.0	0	0	0	1	0	0	1	1	7	-22.0
Josh Giddey	28:03	6	14	0.4	3	8	0.4	4	4	1.0	2	4	6	7	0	0	3	0	19	-23.0
Ayo Dosunmu	25:01	8	14	0.6	2	6	0.3	2	3	0.7	1	2	3	2	2	0	1	4	20	-14.0
Julian Phillips	0:53	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0
Lachlan Olbrich	0:53	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	0	0	0	0	0.0
Jevon Carter	0:49	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0
