## Memphis Grizzlies — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Cedric Coward	29:40	3	13	0.2	0	2	0.0	2	3	0.7	2	5	7	2	1	1	2	3	8	-14.0
Jaren Jackson Jr.	32:14	8	17	0.5	1	5	0.2	0	0	0.0	1	6	7	1	1	2	1	3	17	-10.0
Santi Aldama	27:25	7	12	0.6	1	2	0.5	2	3	0.7	3	4	7	2	0	0	1	1	17	-5.0
Jaylen Wells	26:10	4	13	0.3	1	6	0.2	3	3	1.0	2	4	6	0	1	0	2	4	12	-9.0
Cam Spencer	27:22	1	5	0.2	0	3	0.0	3	3	1.0	3	2	5	13	1	1	3	1	5	-5.0
Kentavious Caldwell-Pope	18:20	5	9	0.6	1	4	0.2	0	0	0.0	2	1	3	1	0	0	0	0	11	+5.0
GG Jackson	27:19	6	16	0.4	0	6	0.0	2	3	0.7	1	2	3	1	1	0	0	2	14	-4.0
John Konchar	20:20	0	1	0.0	0	1	0.0	0	0	0.0	1	2	3	1	2	0	0	3	0	0.0
Vince Williams Jr.	20:35	3	15	0.2	1	6	0.2	0	0	0.0	4	4	8	5	2	0	2	4	7	-4.0
Olivier-Maxence Prosper	10:33	2	4	0.5	2	2	1.0	2	2	1.0	2	1	3	0	0	1	2	0	8	+1.0

## Houston Rockets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kevin Durant	37:02	11	24	0.5	4	9	0.4	7	9	0.8	2	6	8	2	0	1	2	1	33	+1.0
Jabari Smith Jr.	33:34	2	6	0.3	2	6	0.3	2	2	1.0	0	8	8	2	2	0	0	2	8	+6.0
Alperen Sengun	33:41	15	17	0.9	0	1	0.0	3	4	0.8	3	6	9	6	1	0	5	5	33	+12.0
Tari Eason	26:38	6	17	0.4	4	8	0.5	1	2	0.5	2	5	7	0	2	1	3	1	17	+10.0
Amen Thompson	41:36	3	10	0.3	0	1	0.0	2	2	1.0	5	3	8	14	1	0	4	1	8	+11.0
Reed Sheppard	15:17	2	11	0.2	0	7	0.0	0	0	0.0	0	4	4	0	0	1	2	1	4	-2.0
Josh Okogie	25:07	1	3	0.3	0	2	0.0	0	1	0.0	2	5	7	2	1	0	0	1	2	+7.0
Dorian Finney-Smith	16:00	1	4	0.2	1	3	0.3	0	0	0.0	1	1	2	2	2	0	0	0	3	+9.0
Clint Capela	6:37	0	0	0.0	0	0	0.0	0	0	0.0	1	2	3	0	0	0	0	0	0	-7.0
Jae'Sean Tate	4:25	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	1	0	0	0	1	0	-2.0
