## Orlando Magic — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Desmond Bane	38:29	7	17	0.4	3	7	0.4	2	2	1.0	3	1	4	0	1	1	0	3	19	-17.0
Paolo Banchero	39:48	13	21	0.6	2	5	0.4	9	13	0.7	4	6	10	4	0	0	2	1	37	-14.0
Wendell Carter Jr.	33:30	4	8	0.5	1	4	0.2	0	0	0.0	0	7	7	1	0	1	0	3	9	-13.0
Anthony Black	37:13	6	14	0.4	2	9	0.2	0	0	0.0	0	4	4	5	3	1	2	3	14	-14.0
Jalen Suggs	27:17	2	13	0.2	0	5	0.0	0	0	0.0	2	3	5	6	2	1	3	3	4	-6.0
Tyus Jones	18:17	1	3	0.3	1	2	0.5	0	0	0.0	0	3	3	3	2	0	0	0	3	+1.0
Noah Penda	14:11	1	4	0.2	0	1	0.0	0	0	0.0	2	1	3	1	1	0	1	3	2	-2.0
Moritz Wagner	12:27	2	9	0.2	1	3	0.3	0	0	0.0	1	2	3	0	0	0	1	1	5	-5.0
Jase Richardson	4:44	0	1	0.0	0	1	0.0	0	0	0.0	1	0	1	0	0	0	1	1	0	-7.0
Jonathan Isaac	4:58	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	1	0	1	0	-1.0
Tristan da Silva	9:05	2	4	0.5	1	2	0.5	0	0	0.0	0	1	1	1	1	1	1	0	5	-2.0

## Cleveland Cavaliers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Dean Wade	28:53	2	4	0.5	0	2	0.0	2	2	1.0	2	5	7	2	1	1	1	1	6	+21.0
Evan Mobley	34:59	9	16	0.6	1	3	0.3	1	4	0.2	2	7	9	2	0	2	1	4	20	+5.0
Jarrett Allen	33:12	4	6	0.7	0	0	0.0	1	3	0.3	0	4	4	1	0	0	0	2	9	+18.0
Jaylon Tyson	34:46	5	10	0.5	2	3	0.7	2	2	1.0	2	7	9	4	1	1	3	1	14	+12.0
Donovan Mitchell	35:08	15	25	0.6	5	8	0.6	10	12	0.8	0	4	4	4	1	0	4	2	45	+23.0
Lonzo Ball	13:53	0	1	0.0	0	1	0.0	0	0	0.0	0	1	1	1	1	1	1	2	0	-1.0
Craig Porter Jr.	15:28	2	5	0.4	0	1	0.0	0	0	0.0	1	4	5	5	0	0	0	2	4	+5.0
Nae'Qwan Tomlin	23:35	2	7	0.3	1	4	0.2	3	4	0.8	0	3	3	1	0	0	2	1	8	-5.0
Larry Nance Jr.	6:01	1	2	0.5	0	1	0.0	0	0	0.0	0	1	1	0	0	0	0	0	2	-1.0
Tyrese Proctor	14:01	2	3	0.7	2	2	1.0	0	0	0.0	0	2	2	3	2	0	2	0	6	+3.0
