## Portland Trail Blazers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Sidy Cissoko	24:46	1	2	0.5	0	1	0.0	2	4	0.5	1	3	4	1	1	0	2	4	4	-11.0
Toumani Camara	36:13	6	13	0.5	3	9	0.3	3	3	1.0	2	6	8	1	3	0	2	5	18	-6.0
Donovan Clingan	28:19	4	9	0.4	1	5	0.2	0	2	0.0	4	11	15	1	0	5	3	2	9	-19.0
Shaedon Sharpe	34:19	3	12	0.2	1	6	0.2	2	2	1.0	1	4	5	3	1	0	3	3	9	-4.0
Jrue Holiday	24:26	5	11	0.5	3	7	0.4	1	2	0.5	0	3	3	3	3	0	2	1	14	+3.0
Robert Williams III	19:41	3	3	1.0	0	0	0.0	0	0	0.0	0	2	2	0	2	1	1	2	6	+11.0
Caleb Love	25:44	5	14	0.4	1	7	0.1	0	0	0.0	1	2	3	5	0	0	2	0	11	-2.0
Jerami Grant	26:34	4	9	0.4	1	3	0.3	10	15	0.7	0	2	2	3	0	2	0	2	19	-4.0
Rayan Rupert	15:48	1	4	0.2	0	2	0.0	2	2	1.0	2	2	4	0	1	0	3	3	4	-7.0
Javonte Cooke	4:09	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-1.0

## Boston Celtics — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jaylen Brown	36:13	8	17	0.5	1	3	0.3	3	5	0.6	1	7	8	4	4	0	1	1	20	+6.0
Sam Hauser	29:39	4	12	0.3	3	7	0.4	0	0	0.0	0	7	7	3	2	0	0	3	11	+5.0
Neemias Queta	22:07	2	6	0.3	0	0	0.0	0	0	0.0	2	2	4	6	0	1	2	3	4	+4.0
Payton Pritchard	34:44	8	16	0.5	5	11	0.5	2	4	0.5	1	3	4	3	0	0	0	1	23	+23.0
Derrick White	34:28	7	14	0.5	2	4	0.5	2	2	1.0	2	2	4	4	2	0	9	4	18	+2.0
Amari Williams	25:53	3	8	0.4	0	0	0.0	3	5	0.6	2	5	7	1	1	2	2	5	9	+4.0
Hugo González	14:12	1	2	0.5	0	1	0.0	0	0	0.0	0	0	0	2	0	0	0	0	2	+19.0
Anfernee Simons	26:24	5	12	0.4	2	7	0.3	0	0	0.0	0	1	1	1	2	1	1	1	12	-9.0
Baylor Scheierman	12:59	1	2	0.5	0	0	0.0	0	0	0.0	2	3	5	0	0	0	1	3	2	-12.0
Jordan Walsh	3:19	0	1	0.0	0	1	0.0	1	2	0.5	0	1	1	0	0	0	1	0	1	-2.0
