## Detroit Pistons — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Ausar Thompson	19:40	5	7	0.7	0	0	0.0	4	4	1.0	2	2	4	1	5	1	1	5	14	+14.0
Tobias Harris	31:19	10	15	0.7	0	2	0.0	2	2	1.0	1	7	8	3	2	0	0	1	22	+6.0
Jalen Duren	29:55	6	10	0.6	0	0	0.0	2	4	0.5	1	7	8	0	1	0	0	3	14	+5.0
Duncan Robinson	23:08	1	9	0.1	0	8	0.0	0	0	0.0	1	2	3	3	0	0	0	1	2	+4.0
Cade Cunningham	36:26	9	17	0.5	1	4	0.2	3	4	0.8	0	3	3	11	0	1	0	1	22	+1.0
Jaden Ivey	17:45	3	8	0.4	2	6	0.3	0	0	0.0	1	2	3	2	0	1	1	1	8	+3.0
Isaiah Stewart	20:26	3	7	0.4	0	2	0.0	1	1	1.0	2	0	2	0	0	0	0	1	7	-7.0
Ronald Holland II	22:59	4	7	0.6	2	4	0.5	0	0	0.0	1	2	3	0	2	0	3	4	10	-8.0
Daniss Jenkins	18:52	0	8	0.0	0	2	0.0	0	0	0.0	1	0	1	3	0	0	0	1	0	-5.0
Javonte Green	19:28	3	6	0.5	1	3	0.3	3	3	1.0	3	3	6	1	0	0	1	3	10	-3.0

## Denver Nuggets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Spencer Jones	32:43	4	5	0.8	4	5	0.8	0	0	0.0	1	2	3	1	2	1	1	2	12	-4.0
Peyton Watson	36:57	6	20	0.3	1	6	0.2	0	0	0.0	0	3	3	3	0	3	3	3	13	-12.0
Jonas Valančiūnas	30:53	6	10	0.6	1	1	1.0	3	4	0.8	7	9	16	1	0	1	4	2	16	0.0
Jalen Pickett	16:26	2	3	0.7	0	0	0.0	0	0	0.0	0	3	3	1	1	0	1	2	4	-5.0
Jamal Murray	38:40	7	18	0.4	0	6	0.0	10	15	0.7	0	5	5	10	0	1	2	2	24	+8.0
Tim Hardaway Jr.	31:48	5	13	0.4	4	9	0.4	0	0	0.0	1	3	4	3	0	0	0	1	14	+3.0
Zeke Nnaji	17:09	2	3	0.7	0	0	0.0	0	0	0.0	2	4	6	1	0	1	3	1	4	-4.0
Julian Strawther	12:10	1	2	0.5	0	0	0.0	2	2	1.0	0	2	2	0	0	0	0	0	4	-3.0
Bruce Brown	23:13	7	10	0.7	0	2	0.0	2	2	1.0	2	5	7	2	1	2	1	3	16	+7.0
