## Los Angeles Clippers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kawhi Leonard	27:39	9	18	0.5	3	7	0.4	0	0	0.0	3	4	7	4	0	1	2	1	21	+24.0
John Collins	22:59	4	9	0.4	2	5	0.4	1	2	0.5	0	2	2	1	0	0	2	5	11	+10.0
Ivica Zubac	22:14	4	6	0.7	0	0	0.0	1	2	0.5	3	4	7	3	0	0	3	1	9	+7.0
Kris Dunn	30:38	6	10	0.6	2	4	0.5	0	0	0.0	0	2	2	2	5	0	1	1	14	+15.0
James Harden	30:44	5	14	0.4	3	8	0.4	3	4	0.8	1	2	3	10	4	0	2	1	16	+5.0
Nicolas Batum	21:21	3	5	0.6	2	4	0.5	0	0	0.0	0	2	2	0	0	0	0	2	8	0.0
Kobe Sanders	21:47	3	7	0.4	2	6	0.3	0	0	0.0	2	3	5	3	0	0	1	5	8	+4.0
Jordan Miller	25:26	2	7	0.3	0	2	0.0	7	10	0.7	1	3	4	3	1	1	0	1	11	+6.0
Brook Lopez	20:03	4	7	0.6	3	6	0.5	3	3	1.0	0	5	5	0	0	1	0	0	14	+13.0
Cam Christie	5:43	0	2	0.0	0	1	0.0	0	0	0.0	1	0	1	1	0	0	0	0	0	-8.0
Yanic Konan Niederhäuser	5:43	0	1	0.0	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	2	0	-8.0
Kobe Brown	5:43	1	2	0.5	1	2	0.5	0	0	0.0	1	0	1	0	0	0	0	0	3	-8.0

## Utah Jazz — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Cody Williams	25:10	4	7	0.6	1	2	0.5	2	2	1.0	2	0	2	0	2	0	2	2	11	-17.0
Lauri Markkanen	29:03	5	15	0.3	3	6	0.5	6	7	0.9	2	3	5	4	0	2	2	1	19	-12.0
Kevin Love	24:14	1	5	0.2	1	4	0.2	0	0	0.0	1	10	11	1	1	0	1	2	3	-20.0
Ace Bailey	28:38	8	16	0.5	4	9	0.4	0	0	0.0	0	1	1	0	0	0	1	1	20	-12.0
Isaiah Collier	29:18	4	9	0.4	0	2	0.0	4	4	1.0	1	3	4	9	0	0	1	3	12	+1.0
Kyle Anderson	24:50	4	6	0.7	1	1	1.0	3	3	1.0	0	3	3	5	1	0	0	1	12	+7.0
Kyle Filipowski	23:46	3	4	0.8	0	1	0.0	2	4	0.5	3	7	10	2	1	0	3	4	8	+8.0
Brice Sensabaugh	24:46	6	11	0.5	1	3	0.3	0	1	0.0	0	1	1	3	1	0	0	1	13	+13.0
Walter Clayton Jr.	18:42	2	5	0.4	1	2	0.5	0	0	0.0	1	1	2	2	0	1	2	2	5	-13.0
Taylor Hendricks	11:33	0	4	0.0	0	3	0.0	0	0	0.0	0	1	1	2	0	0	3	0	0	-15.0
