## Milwaukee Bucks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kyle Kuzma	31:48	6	12	0.5	2	4	0.5	3	4	0.8	0	8	8	8	2	0	2	1	17	-5.0
Bobby Portis	35:34	8	16	0.5	0	3	0.0	1	3	0.3	4	8	12	8	1	0	2	2	17	-4.0
Myles Turner	35:27	10	16	0.6	4	8	0.5	7	8	0.9	1	3	4	3	1	2	2	3	31	-6.0
AJ Green	29:16	3	6	0.5	2	4	0.5	0	0	0.0	0	2	2	3	0	0	0	0	8	-1.0
Ryan Rollins	38:44	9	17	0.5	2	4	0.5	4	5	0.8	3	5	8	4	0	2	0	0	24	-4.0
Gary Harris	13:50	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	2	0	0	1	0	0	-9.0
Gary Trent Jr.	20:49	4	9	0.4	4	9	0.4	1	3	0.3	0	0	0	0	0	0	0	2	13	-16.0
Cole Anthony	14:13	3	8	0.4	1	2	0.5	3	4	0.8	0	1	1	1	0	0	2	2	10	-17.0
Jericho Sims	10:45	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	0	2	2	0	-11.0
Amir Coffey	2:23	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-3.0
Pete Nance	2:23	1	2	0.5	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	2	-3.0
Thanasis Antetokounmpo	2:23	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	0	0	0	0	-3.0
Andre Jackson Jr.	2:23	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-3.0

## Philadelphia 76ers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kelly Oubre Jr.	22:34	3	6	0.5	0	2	0.0	1	2	0.5	0	4	4	0	1	1	0	3	7	+1.0
Paul George	32:58	11	21	0.5	9	15	0.6	1	2	0.5	0	5	5	5	2	0	1	3	32	+13.0
Joel Embiid	29:07	11	24	0.5	1	4	0.2	6	6	1.0	6	3	9	5	1	0	2	2	29	+6.0
VJ Edgecombe	31:20	4	7	0.6	3	3	1.0	1	2	0.5	2	6	8	7	1	2	1	3	12	+4.0
Tyrese Maxey	36:03	9	19	0.5	2	8	0.2	2	2	1.0	1	2	3	9	0	0	1	2	22	+5.0
Jared McCain	24:10	6	8	0.8	5	6	0.8	0	0	0.0	0	1	1	3	0	0	0	2	17	+13.0
Justin Edwards	24:16	3	5	0.6	2	4	0.5	0	0	0.0	1	2	3	1	1	0	1	2	8	+14.0
Trendon Watford	6:10	1	2	0.5	0	0	0.0	0	0	0.0	0	1	1	3	1	0	0	1	2	+8.0
Adem Bona	17:24	3	6	0.5	0	0	0.0	0	1	0.0	1	7	8	0	0	2	0	3	6	+10.0
Dominick Barlow	12:14	2	3	0.7	0	0	0.0	0	0	0.0	4	0	4	2	0	0	0	1	4	+7.0
Jabari Walker	2:15	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	+3.0
Johni Broome	1:28	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	+1.0
