## New Orleans Pelicans — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Saddiq Bey	33:14	4	16	0.2	3	6	0.5	5	5	1.0	5	8	13	5	2	0	1	1	16	+2.0
Zion Williamson	33:38	8	11	0.7	0	0	0.0	5	5	1.0	5	6	11	2	0	1	3	4	21	+4.0
Derik Queen	26:12	4	11	0.4	0	0	0.0	1	1	1.0	1	6	7	1	2	1	0	2	9	0.0
Trey Murphy III	39:07	3	20	0.1	1	11	0.1	3	5	0.6	1	4	5	5	3	1	0	2	10	-4.0
Herbert Jones	26:32	3	12	0.2	1	9	0.1	2	2	1.0	2	3	5	5	2	2	0	4	9	0.0
Karlo Matković	10:03	2	4	0.5	2	2	1.0	0	0	0.0	1	1	2	0	1	1	0	0	6	-14.0
Jeremiah Fears	18:00	3	9	0.3	1	3	0.3	0	0	0.0	1	1	2	1	3	1	0	3	7	-2.0
Jose Alvarado	20:01	3	7	0.4	2	6	0.3	0	0	0.0	2	1	3	4	0	0	2	1	8	-10.0
Yves Missi	21:13	4	4	1.0	0	0	0.0	1	4	0.2	3	3	6	2	0	4	2	2	9	-9.0
Micah Peavy	11:58	0	5	0.0	0	3	0.0	0	0	0.0	0	0	0	0	0	0	0	2	0	-12.0

## Oklahoma City Thunder — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Aaron Wiggins	34:07	4	11	0.4	2	6	0.3	3	4	0.8	2	3	5	1	3	0	5	0	13	+6.0
Jaylin Williams	26:48	1	8	0.1	0	3	0.0	2	2	1.0	1	9	10	5	0	4	3	3	4	+2.0
Chet Holmgren	32:59	8	14	0.6	1	3	0.3	3	3	1.0	4	10	14	3	0	5	1	1	20	+4.0
Luguentz Dort	34:07	4	12	0.3	4	9	0.4	0	0	0.0	3	5	8	3	1	0	1	2	12	+8.0
Shai Gilgeous-Alexander	35:49	8	22	0.4	0	3	0.0	13	14	0.9	1	5	6	4	0	0	3	3	29	+14.0
Isaiah Joe	24:25	6	11	0.5	5	10	0.5	0	0	0.0	0	3	3	3	0	0	1	2	17	+9.0
Ousmane Dieng	19:06	2	5	0.4	0	2	0.0	0	0	0.0	2	2	4	2	0	0	0	2	4	-11.0
Brooks Barnhizer	4:59	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	0	0	0	0	+5.0
Kenrich Williams	21:20	1	2	0.5	1	1	1.0	0	0	0.0	0	2	2	4	0	0	2	2	3	+6.0
Branden Carlson	6:18	1	2	0.5	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	0	2	+2.0
