## Portland Trail Blazers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Toumani Camara	32:52	6	11	0.5	4	6	0.7	0	2	0.0	1	8	9	4	0	1	1	5	16	+2.0
Deni Avdija	30:44	6	14	0.4	3	5	0.6	2	6	0.3	4	8	12	3	0	1	6	1	17	-9.0
Donovan Clingan	29:59	6	17	0.4	0	3	0.0	2	2	1.0	13	7	20	2	1	1	2	3	14	-17.0
Shaedon Sharpe	34:57	11	20	0.6	5	9	0.6	4	4	1.0	0	4	4	2	2	1	3	3	31	-10.0
Jrue Holiday	24:44	2	14	0.1	0	4	0.0	1	3	0.3	5	2	7	5	1	0	3	1	5	+3.0
Sidy Cissoko	15:24	0	3	0.0	0	2	0.0	0	0	0.0	0	0	0	0	1	0	0	1	0	+5.0
Caleb Love	16:31	2	8	0.2	0	1	0.0	2	4	0.5	1	1	2	1	0	0	1	0	6	-5.0
Jerami Grant	23:42	3	10	0.3	0	5	0.0	0	0	0.0	1	3	4	0	0	1	1	1	6	-1.0
Yang Hansen	11:55	2	6	0.3	0	1	0.0	2	2	1.0	3	2	5	1	0	0	1	1	6	+11.0
Rayan Rupert	19:12	4	6	0.7	2	2	1.0	0	0	0.0	1	5	6	1	5	0	2	1	10	+1.0

## Washington Wizards — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kyshawn George	36:36	5	16	0.3	4	10	0.4	5	6	0.8	1	8	9	5	3	2	1	2	19	+19.0
Khris Middleton	26:46	7	14	0.5	1	2	0.5	4	4	1.0	1	5	6	5	3	1	1	2	19	+15.0
Alex Sarr	36:07	11	29	0.4	3	9	0.3	4	5	0.8	6	6	12	3	2	6	2	1	29	+16.0
Bilal Coulibaly	27:36	1	2	0.5	1	1	1.0	2	2	1.0	1	4	5	6	2	2	0	0	5	+19.0
Tre Johnson	32:02	7	13	0.5	3	5	0.6	1	1	1.0	2	2	4	2	0	1	0	2	18	+4.0
Justin Champagnie	18:05	0	2	0.0	0	1	0.0	1	2	0.5	1	2	3	1	1	0	2	1	1	-9.0
Bub Carrington	27:58	4	11	0.4	2	6	0.3	1	1	1.0	0	1	1	1	2	0	3	2	11	-6.0
Jamir Watkins	11:59	1	4	0.2	0	1	0.0	0	0	0.0	1	1	2	1	2	0	2	3	2	-16.0
Anthony Gill	6:11	1	2	0.5	0	0	0.0	0	0	0.0	1	1	2	1	1	0	1	2	2	-8.0
Will Riley	10:57	2	3	0.7	2	2	1.0	0	0	0.0	0	1	1	2	0	0	1	0	6	-10.0
Skal Labissiere	3:34	0	1	0.0	0	1	0.0	0	0	0.0	0	1	1	0	0	0	0	1	0	-8.0
Malaki Branham	2:08	1	1	1.0	1	1	1.0	0	0	0.0	0	0	0	0	0	0	0	1	3	+4.0
