## Sacramento Kings — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Precious Achiuwa	23:41	3	7	0.4	0	2	0.0	0	0	0.0	2	3	5	0	2	0	2	1	6	-8.0
DeMar DeRozan	38:55	13	26	0.5	1	7	0.1	7	8	0.9	0	5	5	0	0	0	2	3	34	-17.0
Domantas Sabonis	32:46	5	10	0.5	0	2	0.0	1	2	0.5	5	7	12	7	0	1	3	2	11	-17.0
Nique Clifford	29:50	3	8	0.4	1	3	0.3	0	0	0.0	1	2	3	1	3	0	1	0	7	-2.0
Russell Westbrook	33:27	6	19	0.3	2	9	0.2	0	0	0.0	3	1	4	5	1	0	6	4	14	-17.0
Keon Ellis	22:13	1	4	0.2	1	4	0.2	0	0	0.0	0	1	1	1	0	0	0	1	3	-2.0
Dylan Cardwell	21:58	2	3	0.7	0	0	0.0	0	0	0.0	3	7	10	0	0	2	0	3	4	-6.0
Dennis Schröder	22:36	1	8	0.1	0	3	0.0	2	2	1.0	0	1	1	4	2	0	1	1	4	-12.0
Maxime Raynaud	14:33	1	2	0.5	0	0	0.0	2	2	1.0	0	3	3	0	0	0	1	1	4	+1.0

## New York Knicks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
OG Anunoby	32:28	5	7	0.7	3	4	0.8	2	2	1.0	1	1	2	0	2	0	7	3	15	+5.0
Josh Hart	31:25	2	6	0.3	0	2	0.0	3	3	1.0	1	8	9	4	3	0	4	2	7	-2.0
Karl-Anthony Towns	27:03	5	15	0.3	3	8	0.4	4	4	1.0	3	8	11	4	0	0	2	2	17	-3.0
Mikal Bridges	37:32	8	13	0.6	2	3	0.7	0	0	0.0	1	2	3	5	0	0	1	1	18	+14.0
Jalen Brunson	34:39	9	17	0.5	4	8	0.5	6	7	0.9	0	3	3	4	0	1	2	2	28	+17.0
Mitchell Robinson	26:59	3	5	0.6	0	0	0.0	1	2	0.5	6	7	13	0	2	0	0	1	7	+25.0
Guerschon Yabusele	2:55	0	1	0.0	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	+3.0
Landry Shamet	17:15	1	3	0.3	0	0	0.0	0	0	0.0	0	1	1	3	2	0	1	2	2	+1.0
Miles McBride	29:44	4	11	0.4	1	6	0.2	0	0	0.0	0	2	2	4	2	0	1	3	9	+20.0
