## Atlanta Hawks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Corey Kispert	20:11	5	9	0.6	3	5	0.6	0	0	0.0	0	2	2	1	0	0	0	0	13	+10.0
Jalen Johnson	32:44	6	16	0.4	3	5	0.6	4	6	0.7	2	12	14	7	0	0	3	5	19	+23.0
Onyeka Okongwu	28:44	6	12	0.5	2	6	0.3	3	4	0.8	2	4	6	3	2	1	2	2	17	+1.0
Dyson Daniels	35:23	7	11	0.6	1	1	1.0	0	0	0.0	2	4	6	9	5	1	1	2	15	+9.0
Nickeil Alexander-Walker	30:54	7	15	0.5	5	12	0.4	2	2	1.0	0	1	1	3	3	0	2	2	21	+15.0
CJ McCollum	29:24	6	14	0.4	1	5	0.2	0	0	0.0	1	2	3	3	1	0	1	2	13	+12.0
Christian Koloko	12:33	0	1	0.0	0	0	0.0	0	0	0.0	1	1	2	1	0	0	0	3	0	+14.0
Luke Kennard	23:59	4	7	0.6	1	3	0.3	0	1	0.0	0	0	0	0	0	0	0	1	9	-6.0
Mouhamed Gueye	18:33	2	3	0.7	1	2	0.5	0	0	0.0	2	2	4	2	0	0	0	2	5	-8.0
Vít Krejčí	6:11	2	3	0.7	1	2	0.5	0	0	0.0	0	0	0	0	0	0	0	0	5	-10.0
Keaton Wallace	1:23	0	2	0.0	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-5.0

## Boston Celtics — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jaylen Brown	29:12	9	20	0.5	0	5	0.0	3	4	0.8	0	7	7	3	0	1	3	2	21	-24.0
Sam Hauser	25:26	5	9	0.6	2	6	0.3	0	0	0.0	2	5	7	1	0	1	0	1	12	-12.0
Amari Williams	15:11	1	3	0.3	0	0	0.0	0	0	0.0	0	6	6	2	0	1	2	1	2	-11.0
Payton Pritchard	27:54	5	11	0.5	0	3	0.0	2	2	1.0	0	4	4	0	0	0	0	1	12	-30.0
Derrick White	30:53	5	13	0.4	1	5	0.2	0	0	0.0	0	4	4	3	1	1	2	0	11	0.0
Luka Garza	23:52	5	10	0.5	0	2	0.0	1	1	1.0	5	1	6	6	0	0	4	1	11	+3.0
Anfernee Simons	18:45	5	7	0.7	2	4	0.5	0	0	0.0	1	0	1	1	1	0	2	1	12	-4.0
Hugo González	26:37	3	4	0.8	3	4	0.8	1	2	0.5	1	4	5	0	0	1	1	2	10	-3.0
Baylor Scheierman	16:37	1	5	0.2	0	3	0.0	4	5	0.8	1	2	3	4	0	0	0	0	6	+11.0
Jordan Walsh	20:54	1	4	0.2	0	0	0.0	2	2	1.0	5	2	7	1	1	1	1	4	4	+7.0
Josh Minott	4:39	2	3	0.7	1	2	0.5	0	0	0.0	0	1	1	0	0	0	1	0	5	+8.0
