## Charlotte Hornets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kon Knueppel	25:52	4	8	0.5	2	5	0.4	0	0	0.0	0	1	1	6	0	0	0	2	10	+23.0
Miles Bridges	28:23	8	11	0.7	4	7	0.6	0	0	0.0	0	6	6	3	0	0	1	1	20	+32.0
Moussa Diabaté	33:04	8	9	0.9	1	1	1.0	1	2	0.5	7	12	19	2	2	1	3	1	18	+30.0
Brandon Miller	29:45	9	17	0.5	4	8	0.5	4	4	1.0	0	1	1	3	0	0	3	0	26	+31.0
LaMelo Ball	23:26	6	14	0.4	4	9	0.4	0	0	0.0	0	1	1	4	2	0	2	1	16	+32.0
Sion James	22:08	2	5	0.4	1	2	0.5	0	0	0.0	1	1	2	2	0	0	2	2	5	-8.0
Josh Green	16:24	0	4	0.0	0	3	0.0	0	0	0.0	1	0	1	0	0	0	2	0	0	-12.0
Ryan Kalkbrenner	14:55	3	3	1.0	0	0	0.0	0	0	0.0	2	2	4	0	0	0	1	0	6	-15.0
Grant Williams	19:37	1	5	0.2	0	2	0.0	0	0	0.0	1	2	3	1	0	0	1	0	2	-17.0
Collin Sexton	17:21	2	10	0.2	0	3	0.0	2	2	1.0	1	3	4	4	1	0	2	4	6	-14.0
Liam McNeeley	6:06	0	2	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	0	0	0	0	-3.0
Tre Mann	2:58	1	2	0.5	1	2	0.5	0	0	0.0	0	0	0	0	0	0	0	0	3	-4.0

## Memphis Grizzlies — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jaylen Wells	25:23	3	8	0.4	0	3	0.0	0	0	0.0	0	2	2	0	1	1	1	3	6	-17.0
Jaren Jackson Jr.	33:10	10	20	0.5	4	9	0.4	2	2	1.0	0	4	4	4	2	0	2	2	26	-8.0
Jock Landale	25:57	4	9	0.4	1	4	0.2	1	2	0.5	1	2	3	0	0	1	1	1	10	-26.0
Cedric Coward	26:50	6	9	0.7	3	4	0.8	2	2	1.0	0	2	2	5	0	0	1	0	17	-4.0
Cam Spencer	28:00	1	8	0.1	0	6	0.0	2	2	1.0	0	0	0	6	1	0	2	1	4	-22.0
Kentavious Caldwell-Pope	21:10	0	5	0.0	0	3	0.0	0	0	0.0	0	2	2	4	3	0	1	1	0	-11.0
GG Jackson	24:29	5	8	0.6	1	2	0.5	1	2	0.5	0	4	4	1	1	2	2	1	12	-11.0
Vince Williams Jr.	20:00	4	9	0.4	2	6	0.3	0	0	0.0	3	2	5	4	0	1	0	1	10	+7.0
John Konchar	24:30	3	3	1.0	2	2	1.0	0	0	0.0	4	2	6	3	2	2	1	0	8	+3.0
Olivier-Maxence Prosper	10:31	1	2	0.5	1	1	1.0	1	2	0.5	0	1	1	0	0	0	1	0	4	+14.0
