## Chicago Bulls — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Isaac Okoro	22:50	2	6	0.3	1	3	0.3	0	0	0.0	0	2	2	0	0	0	0	3	5	+7.0
Matas Buzelis	31:31	7	11	0.6	4	6	0.7	2	2	1.0	2	6	8	0	0	1	1	1	20	-8.0
Nikola Vučević	29:30	10	17	0.6	3	4	0.8	2	2	1.0	1	8	9	4	1	2	3	3	25	-11.0
Coby White	31:34	5	15	0.3	1	5	0.2	3	4	0.8	0	2	2	4	0	0	0	3	14	-9.0
Josh Giddey	28:34	3	8	0.4	0	3	0.0	4	4	1.0	2	2	4	7	1	0	3	2	10	-1.0
Jalen Smith	27:40	5	9	0.6	3	4	0.8	0	1	0.0	1	10	11	3	1	0	2	3	13	-3.0
Ayo Dosunmu	28:30	8	15	0.5	0	3	0.0	3	4	0.8	1	3	4	4	0	0	1	2	19	+3.0
Kevin Huerter	17:24	2	5	0.4	0	0	0.0	0	1	0.0	1	3	4	4	0	0	0	2	4	+2.0
Dalen Terry	3:26	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	+1.0
Patrick Williams	17:07	0	2	0.0	0	2	0.0	0	0	0.0	1	2	3	1	0	0	1	3	0	+2.0
Julian Phillips	1:53	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	+2.0

## Indiana Pacers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Johnny Furphy	21:51	0	4	0.0	0	1	0.0	2	2	1.0	1	6	7	2	1	1	0	1	2	+2.0
Jarace Walker	21:31	6	8	0.8	2	3	0.7	2	2	1.0	0	0	0	0	0	0	0	0	16	-14.0
Pascal Siakam	36:08	6	16	0.4	1	5	0.2	7	8	0.9	1	2	3	5	0	0	2	3	20	+12.0
Aaron Nesmith	33:58	5	9	0.6	3	5	0.6	1	1	1.0	0	4	4	4	1	1	0	2	14	+13.0
Andrew Nembhard	33:42	6	14	0.4	2	7	0.3	4	4	1.0	0	6	6	9	1	0	1	2	18	+10.0
Bennedict Mathurin	28:21	4	10	0.4	3	5	0.6	4	4	1.0	1	7	8	1	0	0	2	4	15	-7.0
Jay Huff	23:27	4	10	0.4	1	5	0.2	1	2	0.5	2	5	7	1	3	1	1	0	10	+11.0
T.J. McConnell	15:48	4	7	0.6	0	0	0.0	0	0	0.0	1	3	4	6	1	0	0	2	8	-7.0
Isaiah Jackson	2:32	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	2	0	-3.0
Ben Sheppard	5:45	1	2	0.5	1	1	1.0	0	0	0.0	0	1	1	1	0	0	0	1	3	+1.0
Micah Potter	16:55	2	5	0.4	2	4	0.5	1	2	0.5	0	3	3	1	0	0	0	1	7	-3.0
