## Golden State Warriors — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Moses Moody	25:57	9	15	0.6	5	9	0.6	3	4	0.8	3	2	5	0	2	0	0	0	26	+28.0
Draymond Green	22:37	0	6	0.0	0	6	0.0	0	0	0.0	0	2	2	6	1	2	3	2	0	+17.0
Al Horford	24:04	4	5	0.8	1	2	0.5	0	0	0.0	3	2	5	8	1	3	1	2	9	+22.0
Brandin Podziemski	28:19	2	6	0.3	1	2	0.5	6	6	1.0	0	8	8	7	1	1	2	3	11	+16.0
Stephen Curry	28:01	7	14	0.5	4	10	0.4	9	10	0.9	0	1	1	2	2	0	5	1	27	+16.0
De'Anthony Melton	23:07	3	8	0.4	2	5	0.4	4	5	0.8	1	1	2	2	3	0	3	3	12	+13.0
Gui Santos	21:33	6	7	0.9	2	3	0.7	2	3	0.7	1	2	3	4	2	2	1	3	16	+6.0
Quinten Post	17:17	4	7	0.6	2	4	0.5	0	0	0.0	1	5	6	2	0	0	0	1	10	-3.0
Will Richard	20:22	5	8	0.6	3	6	0.5	0	0	0.0	2	3	5	3	3	0	2	2	13	-3.0
Buddy Hield	17:13	5	8	0.6	3	6	0.5	0	0	0.0	0	3	3	4	0	0	1	0	13	-11.0
Trayce Jackson-Davis	3:50	1	1	1.0	0	0	0.0	0	0	0.0	0	1	1	1	0	0	2	0	2	-7.0
Malevy Leons	3:50	0	1	0.0	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-7.0
Pat Spencer	3:50	0	0	0.0	0	0	0.0	1	2	0.5	1	0	1	0	0	0	0	0	1	-7.0

## Utah Jazz — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Svi Mykhailiuk	15:53	1	5	0.2	0	3	0.0	0	0	0.0	1	1	2	0	0	0	3	3	2	-16.0
Lauri Markkanen	33:13	6	14	0.4	1	6	0.2	5	5	1.0	0	3	3	2	2	1	1	1	18	-15.0
Jusuf Nurkić	22:38	4	7	0.6	1	2	0.5	2	2	1.0	2	3	5	5	1	0	4	2	11	-30.0
Ace Bailey	34:04	8	15	0.5	3	7	0.4	0	0	0.0	1	6	7	4	2	1	0	3	19	-14.0
Keyonte George	32:42	6	15	0.4	3	4	0.8	4	6	0.7	1	6	7	7	2	0	2	4	19	-22.0
Kyle Anderson	21:53	2	5	0.4	0	0	0.0	2	2	1.0	3	2	5	6	0	1	1	3	6	+3.0
Isaiah Collier	29:30	5	10	0.5	0	3	0.0	2	2	1.0	0	3	3	6	4	0	3	1	12	-2.0
Kyle Filipowski	16:50	5	5	1.0	2	2	1.0	0	0	0.0	2	2	4	3	2	0	2	3	12	+8.0
Brice Sensabaugh	26:04	6	11	0.5	4	9	0.4	6	7	0.9	0	0	0	3	2	0	1	2	22	-7.0
Walter Clayton Jr.	7:13	1	3	0.3	1	2	0.5	0	0	0.0	0	1	1	2	1	0	2	0	3	+15.0
