## Los Angeles Lakers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
LeBron James	27:08	3	10	0.3	0	3	0.0	5	6	0.8	1	2	3	5	1	0	6	3	11	-23.0
Jake LaRavia	26:36	2	8	0.2	0	5	0.0	2	2	1.0	0	0	0	3	2	1	2	3	6	-9.0
Deandre Ayton	19:26	4	4	1.0	0	0	0.0	2	2	1.0	2	2	4	2	0	1	1	3	10	-20.0
Marcus Smart	23:48	1	4	0.2	0	1	0.0	0	0	0.0	0	3	3	0	1	0	1	2	2	-18.0
Luka Dončić	29:46	12	20	0.6	3	8	0.4	2	6	0.3	0	5	5	6	0	0	2	1	29	-23.0
Rui Hachimura	17:36	0	7	0.0	0	2	0.0	0	0	0.0	0	2	2	0	0	1	1	0	0	-17.0
Gabe Vincent	24:31	4	6	0.7	3	5	0.6	0	0	0.0	0	3	3	1	0	0	2	1	11	-12.0
Jaxson Hayes	18:11	3	4	0.8	0	0	0.0	1	2	0.5	1	4	5	1	0	0	0	2	7	-6.0
Jarred Vanderbilt	15:49	2	7	0.3	0	2	0.0	0	0	0.0	2	4	6	2	1	0	0	1	4	-11.0
Drew Timme	12:00	3	5	0.6	0	2	0.0	0	0	0.0	2	0	2	0	0	0	1	0	6	-8.0
Dalton Knecht	8:23	2	3	0.7	1	2	0.5	0	0	0.0	0	1	1	0	0	0	0	0	5	-1.0
Bronny James	8:23	3	3	1.0	2	2	1.0	0	0	0.0	0	2	2	1	1	0	0	0	8	-1.0
Maxi Kleber	8:23	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	1	0	0	0	0	-1.0

## Cleveland Cavaliers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jaylon Tyson	29:23	8	15	0.5	3	7	0.4	1	1	1.0	2	4	6	6	1	0	1	2	20	+29.0
Dean Wade	17:56	4	5	0.8	2	3	0.7	1	2	0.5	0	5	5	2	1	0	0	1	11	+17.0
Jarrett Allen	24:04	8	11	0.7	0	0	0.0	1	2	0.5	2	7	9	2	1	0	2	1	17	+24.0
Sam Merrill	23:55	1	4	0.2	1	3	0.3	1	2	0.5	1	0	1	4	0	1	1	0	4	+31.0
Donovan Mitchell	28:40	9	21	0.4	3	9	0.3	4	4	1.0	2	3	5	5	1	0	0	4	25	+11.0
Craig Porter Jr.	15:18	3	5	0.6	1	3	0.3	0	0	0.0	1	0	1	3	2	0	0	1	7	+16.0
De'Andre Hunter	21:01	7	15	0.5	3	8	0.4	2	2	1.0	1	2	3	1	1	0	0	0	19	+7.0
Larry Nance Jr.	12:02	0	3	0.0	0	2	0.0	0	0	0.0	1	2	3	0	1	0	1	1	0	-14.0
Nae'Qwan Tomlin	28:32	4	6	0.7	0	2	0.0	0	0	0.0	3	1	4	3	2	1	1	2	8	+8.0
Tyrese Proctor	10:40	3	5	0.6	2	2	1.0	0	0	0.0	0	0	0	3	1	0	0	2	8	-5.0
Thomas Bryant	16:29	4	7	0.6	2	5	0.4	0	0	0.0	1	3	4	1	1	0	0	0	10	+18.0
Lonzo Ball	12:00	0	0	0.0	0	0	0.0	0	0	0.0	0	5	5	2	0	0	2	1	0	+8.0
