## Minnesota Timberwolves — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jaden McDaniels	30:25	3	8	0.4	2	5	0.4	0	0	0.0	0	2	2	2	0	0	0	4	8	-4.0
Julius Randle	33:37	12	21	0.6	0	3	0.0	7	7	1.0	3	2	5	4	1	0	1	3	31	+2.0
Rudy Gobert	20:36	2	5	0.4	0	0	0.0	2	7	0.3	2	4	6	1	2	2	2	4	6	+9.0
Anthony Edwards	38:04	6	17	0.4	3	4	0.8	5	6	0.8	0	6	6	6	3	1	2	0	20	+14.0
Donte DiVincenzo	27:34	3	8	0.4	2	5	0.4	0	0	0.0	0	5	5	1	5	0	1	2	8	+9.0
Mike Conley	22:32	2	6	0.3	2	5	0.4	0	0	0.0	1	0	1	5	1	1	1	2	6	+6.0
Naz Reid	27:59	9	17	0.5	3	10	0.3	2	2	1.0	1	7	8	3	3	1	4	4	23	+6.0
Jaylen Clark	11:02	0	2	0.0	0	1	0.0	0	0	0.0	0	1	1	1	0	0	0	1	0	+9.0
Joan Beringer	15:55	3	4	0.8	0	0	0.0	3	4	0.8	4	0	4	1	0	1	0	2	9	+11.0
Bones Hyland	12:15	3	6	0.5	0	1	0.0	1	1	1.0	0	4	4	2	0	0	1	3	7	+3.0

## Dallas Mavericks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Caleb Martin	32:29	2	7	0.3	0	2	0.0	0	0	0.0	1	7	8	5	2	0	1	1	4	-17.0
P.J. Washington	33:34	10	20	0.5	0	4	0.0	1	4	0.2	1	6	7	2	0	2	3	2	21	-12.0
Daniel Gafford	20:53	5	8	0.6	0	0	0.0	4	5	0.8	5	1	6	0	1	0	2	3	14	-6.0
Max Christie	32:14	1	8	0.1	0	5	0.0	7	8	0.9	0	4	4	1	1	0	3	1	9	-10.0
Naji Marshall	32:15	7	14	0.5	0	0	0.0	4	5	0.8	2	4	6	1	0	1	2	3	18	+1.0
Dwight Powell	26:37	2	4	0.5	0	0	0.0	1	2	0.5	5	4	9	4	0	0	2	4	5	-5.0
Brandon Williams	23:43	4	10	0.4	1	1	1.0	8	12	0.7	0	5	5	3	0	0	2	2	17	-2.0
Jaden Hardy	24:17	4	8	0.5	2	4	0.5	1	3	0.3	0	2	2	3	1	0	0	0	11	-1.0
Ryan Nembhard	9:56	3	5	0.6	0	2	0.0	0	0	0.0	0	1	1	2	0	0	2	3	6	-9.0
Miles Kelly	4:01	0	0	0.0	0	0	0.0	0	0	0.0	0	2	2	1	1	0	0	0	0	-4.0
