## New York Knicks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
OG Anunoby	33:44	11	18	0.6	2	6	0.3	2	3	0.7	0	3	3	5	6	2	0	3	26	+18.0
Josh Hart	35:11	7	11	0.6	4	7	0.6	4	6	0.7	1	4	5	6	2	0	2	4	22	+10.0
Karl-Anthony Towns	35:00	3	11	0.3	0	2	0.0	2	2	1.0	7	15	22	2	0	1	2	0	8	+19.0
Mikal Bridges	36:20	12	15	0.8	4	6	0.7	2	2	1.0	1	0	1	4	1	1	2	2	30	+19.0
Jalen Brunson	29:50	5	13	0.4	0	3	0.0	3	3	1.0	0	1	1	4	0	1	4	4	13	+3.0
Tyler Kolek	20:04	2	4	0.5	1	1	1.0	0	0	0.0	0	1	1	10	0	0	3	2	5	+23.0
Landry Shamet	20:58	3	10	0.3	3	9	0.3	0	0	0.0	1	3	4	1	1	0	1	3	9	+20.0
Ariel Hukporti	7:48	0	0	0.0	0	0	0.0	2	2	1.0	2	3	5	0	0	0	1	2	2	+11.0
Mohamed Diawara	6:53	0	1	0.0	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	+8.0
Guerschon Yabusele	7:25	2	4	0.5	0	2	0.0	0	0	0.0	1	4	5	0	2	0	1	0	4	+3.0
Jordan Clarkson	6:46	0	3	0.0	0	1	0.0	0	0	0.0	0	1	1	0	0	0	0	1	0	+1.0

## Toronto Raptors — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Brandon Ingram	33:37	10	16	0.6	1	3	0.3	6	6	1.0	1	5	6	2	3	0	2	2	27	-14.0
Scottie Barnes	31:39	6	13	0.5	1	3	0.3	4	5	0.8	5	5	10	5	0	1	5	1	17	-14.0
Collin Murray-Boyles	28:15	1	2	0.5	0	0	0.0	2	4	0.5	2	3	5	4	0	4	2	2	4	-9.0
RJ Barrett	24:01	3	13	0.2	1	4	0.2	7	8	0.9	2	6	8	3	0	0	0	2	14	-10.0
Immanuel Quickley	29:50	3	9	0.3	1	2	0.5	0	0	0.0	0	4	4	3	1	0	3	5	7	-4.0
Sandro Mamukelashvili	24:31	4	8	0.5	1	4	0.2	0	0	0.0	0	4	4	1	1	3	3	2	9	-8.0
Ja'Kobe Walter	20:03	0	6	0.0	0	4	0.0	0	0	0.0	1	0	1	1	0	0	0	2	0	-19.0
Jamal Shead	22:34	1	4	0.2	1	3	0.3	0	0	0.0	0	2	2	1	2	0	3	1	3	-8.0
Gradey Dick	15:36	2	7	0.3	1	3	0.3	6	6	1.0	1	2	3	0	1	0	1	0	11	-9.0
Jonathan Mogbo	2:28	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0	0	1	0	1	0	0	-10.0
Garrett Temple	2:28	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	1	0	-10.0
Ochai Agbaji	2:28	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	1	0	-10.0
Jamison Battle	2:28	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-10.0
