## Orlando Magic — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Desmond Bane	36:35	10	16	0.6	3	6	0.5	0	0	0.0	0	1	1	5	2	0	1	2	23	-5.0
Paolo Banchero	38:28	11	23	0.5	1	3	0.3	8	10	0.8	4	8	12	4	1	1	1	1	31	+27.0
Wendell Carter Jr.	27:02	4	8	0.5	2	5	0.4	0	0	0.0	0	5	5	1	0	0	1	5	10	+6.0
Anthony Black	37:24	11	19	0.6	4	7	0.6	0	1	0.0	2	5	7	5	4	2	0	3	26	+19.0
Jalen Suggs	29:10	6	15	0.4	1	7	0.1	3	4	0.8	1	4	5	4	0	1	2	2	16	-3.0
Tyus Jones	19:25	2	3	0.7	1	1	1.0	0	0	0.0	1	0	1	9	0	0	1	1	5	+9.0
Jonathan Isaac	16:46	1	3	0.3	0	1	0.0	2	2	1.0	2	3	5	3	2	2	0	0	4	+4.0
Tristan da Silva	20:52	5	9	0.6	2	5	0.4	0	0	0.0	0	2	2	4	3	0	1	1	12	+3.0
Noah Penda	7:55	1	6	0.2	1	2	0.5	0	0	0.0	2	1	3	1	0	0	0	1	3	-16.0
Moritz Wagner	4:25	1	2	0.5	1	1	1.0	0	0	0.0	0	1	1	0	0	0	0	0	3	-3.0
Jase Richardson	1:57	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	+4.0

## Miami Heat — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Pelle Larsson	27:49	3	7	0.4	0	0	0.0	2	2	1.0	2	7	9	2	1	0	1	0	8	-9.0
Andrew Wiggins	31:36	6	11	0.5	1	3	0.3	3	3	1.0	0	5	5	3	1	1	2	3	16	-15.0
Bam Adebayo	38:40	7	14	0.5	4	7	0.6	3	4	0.8	2	10	12	7	2	0	3	0	21	-4.0
Norman Powell	28:13	8	17	0.5	2	7	0.3	4	4	1.0	0	2	2	1	0	1	3	5	22	-7.0
Kasparas Jakučionis	19:56	1	4	0.2	0	1	0.0	0	0	0.0	1	1	2	1	2	0	2	3	2	-6.0
Nikola Jović	18:30	1	4	0.2	0	2	0.0	0	0	0.0	1	1	2	0	0	1	2	0	2	-4.0
Jaime Jaquez Jr.	27:34	6	10	0.6	1	2	0.5	0	0	0.0	1	3	4	4	0	0	4	5	13	+2.0
Dru Smith	21:32	3	5	0.6	1	2	0.5	6	6	1.0	0	3	3	7	0	0	1	1	13	-7.0
Simone Fontecchio	19:29	7	11	0.6	6	9	0.7	3	4	0.8	0	5	5	2	0	1	0	1	23	+8.0
Kel'el Ware	6:40	2	5	0.4	0	1	0.0	0	0	0.0	2	2	4	0	0	1	0	0	4	-3.0
