## San Antonio Spurs — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Julian Champagnie	20:51	1	4	0.2	0	3	0.0	0	0	0.0	0	3	3	0	0	0	1	1	2	+3.0
Harrison Barnes	28:46	4	6	0.7	1	2	0.5	0	0	0.0	0	1	1	1	0	0	0	1	9	+1.0
Victor Wembanyama	28:35	8	15	0.5	0	3	0.0	12	15	0.8	3	13	16	3	2	5	4	4	28	+6.0
Stephon Castle	32:44	7	12	0.6	1	2	0.5	1	3	0.3	1	4	5	6	2	0	2	3	16	+3.0
De'Aaron Fox	33:32	6	11	0.5	2	5	0.4	4	4	1.0	0	5	5	8	0	1	5	0	18	+5.0
Luke Kornet	18:44	0	0	0.0	0	0	0.0	0	2	0.0	2	2	4	2	0	1	0	0	0	+8.0
Keldon Johnson	26:40	8	15	0.5	1	4	0.2	0	0	0.0	1	6	7	5	0	0	1	4	17	+18.0
Devin Vassell	22:42	2	7	0.3	1	5	0.2	0	0	0.0	0	1	1	0	1	0	0	1	5	+9.0
Dylan Harper	22:03	8	11	0.7	0	2	0.0	0	0	0.0	1	3	4	3	0	1	2	1	16	+18.0
Carter Bryant	3:19	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-5.0
Jordan McLaughlin	0:40	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-2.0
Bismack Biyombo	0:40	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-2.0
Lindy Waters III	0:40	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-2.0

## Houston Rockets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kevin Durant	36:10	8	17	0.5	2	4	0.5	6	6	1.0	1	1	2	6	0	1	3	2	24	-9.0
Jabari Smith Jr.	37:00	3	8	0.4	2	5	0.4	0	0	0.0	1	6	7	2	1	0	2	3	8	-12.0
Alperen Sengun	35:46	7	20	0.3	1	2	0.5	3	7	0.4	5	5	10	7	2	0	1	5	18	-14.0
Tari Eason	24:46	4	10	0.4	2	3	0.7	0	0	0.0	3	3	6	0	3	1	0	4	10	-7.0
Amen Thompson	35:52	11	23	0.5	0	0	0.0	3	3	1.0	3	4	7	4	4	1	2	0	25	-15.0
Josh Okogie	14:44	0	3	0.0	0	3	0.0	0	0	0.0	1	2	3	3	1	1	0	1	0	+10.0
Reed Sheppard	25:59	4	12	0.3	1	4	0.2	0	0	0.0	1	4	5	0	1	2	1	1	9	-16.0
Dorian Finney-Smith	19:26	0	2	0.0	0	2	0.0	0	0	0.0	0	2	2	0	0	0	2	2	0	-6.0
Clint Capela	8:31	2	4	0.5	0	0	0.0	1	2	0.5	2	2	4	0	0	2	0	0	5	+3.0
Aaron Holiday	0:51	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	1	0	0	0	0	0	+3.0
Jae'Sean Tate	0:51	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	+3.0
