## Brooklyn Nets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Michael Porter Jr.	37:06	13	28	0.5	7	15	0.5	5	5	1.0	2	8	10	3	2	2	1	3	38	+12.0
Danny Wolf	27:33	3	7	0.4	1	4	0.2	0	0	0.0	2	2	4	3	0	1	0	3	7	+5.0
Nic Claxton	31:18	4	7	0.6	0	0	0.0	2	2	1.0	3	5	8	7	0	1	2	4	10	+6.0
Terance Mann	28:56	3	9	0.3	2	5	0.4	4	5	0.8	2	4	6	1	0	0	2	2	12	+11.0
Nolan Traore	30:19	4	7	0.6	0	1	0.0	1	2	0.5	0	2	2	4	0	1	0	2	9	+4.0
Day'Ron Sharpe	16:43	3	5	0.6	0	0	0.0	1	2	0.5	5	4	9	1	2	0	1	3	7	-12.0
Ben Saraf	17:41	0	4	0.0	0	1	0.0	0	0	0.0	0	2	2	3	0	1	1	1	0	-8.0
Drake Powell	19:58	2	5	0.4	1	3	0.3	2	2	1.0	0	1	1	1	0	0	1	2	7	-11.0
Tyrese Martin	17:23	2	8	0.2	1	5	0.2	0	0	0.0	0	6	6	0	0	0	0	0	5	-19.0
Jalen Wilson	13:01	3	5	0.6	2	3	0.7	0	0	0.0	0	1	1	1	0	0	0	1	8	-8.0

## Denver Nuggets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Spencer Jones	15:14	0	3	0.0	0	2	0.0	1	2	0.5	0	1	1	0	0	0	0	2	1	-23.0
Peyton Watson	34:12	7	15	0.5	2	3	0.7	3	6	0.5	0	2	2	3	0	2	0	1	19	0.0
Jonas Valančiūnas	24:35	4	11	0.4	0	1	0.0	4	4	1.0	2	7	9	3	1	0	0	3	12	+11.0
Jalen Pickett	15:01	0	2	0.0	0	2	0.0	0	0	0.0	0	3	3	3	0	0	0	0	0	-9.0
Jamal Murray	32:58	9	16	0.6	2	3	0.7	7	7	1.0	1	3	4	6	2	0	2	1	27	-9.0
Tim Hardaway Jr.	27:34	9	15	0.6	7	11	0.6	0	1	0.0	1	7	8	3	1	0	0	0	25	+21.0
Zeke Nnaji	22:49	2	4	0.5	0	0	0.0	0	0	0.0	3	4	7	1	0	2	1	2	4	-3.0
Bruce Brown	32:59	5	7	0.7	1	1	1.0	1	3	0.3	0	3	3	3	0	0	2	2	12	+13.0
Julian Strawther	21:55	2	6	0.3	1	2	0.5	2	2	1.0	0	1	1	1	2	0	0	2	7	+11.0
Hunter Tyson	12:42	0	1	0.0	0	1	0.0	0	0	0.0	0	3	3	1	0	0	1	1	0	+8.0
