## Charlotte Hornets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kon Knueppel	36:25	10	16	0.6	8	12	0.7	6	6	1.0	0	4	4	3	1	0	0	0	34	+7.0
Miles Bridges	38:12	7	17	0.4	1	5	0.2	2	2	1.0	0	8	8	8	1	2	3	0	17	+11.0
Moussa Diabaté	32:04	5	9	0.6	0	0	0.0	0	0	0.0	1	4	5	3	0	2	0	4	10	0.0
Brandon Miller	26:46	7	13	0.5	3	7	0.4	6	6	1.0	1	5	6	2	0	1	0	5	23	+12.0
LaMelo Ball	30:48	8	17	0.5	6	10	0.6	0	0	0.0	1	2	3	9	0	1	3	1	22	+9.0
Josh Green	14:31	1	2	0.5	0	0	0.0	0	0	0.0	1	2	3	1	0	0	1	2	2	-8.0
Sion James	15:39	0	3	0.0	0	2	0.0	0	0	0.0	0	8	8	0	0	0	1	2	0	-5.0
Ryan Kalkbrenner	15:26	1	2	0.5	0	0	0.0	3	4	0.8	1	2	3	0	0	1	0	1	5	0.0
Tidjane Salaün	9:48	1	2	0.5	0	0	0.0	0	0	0.0	2	1	3	0	1	0	2	0	2	-9.0
Collin Sexton	20:18	3	10	0.3	2	5	0.4	0	0	0.0	1	1	2	2	1	2	0	2	8	-7.0

## Dallas Mavericks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Caleb Martin	27:14	2	6	0.3	2	2	1.0	0	0	0.0	2	9	11	2	1	2	2	2	6	-11.0
P.J. Washington	35:05	6	19	0.3	1	5	0.2	1	1	1.0	3	6	9	3	1	2	1	3	14	-5.0
Daniel Gafford	25:11	2	4	0.5	0	0	0.0	1	2	0.5	2	2	4	3	0	1	1	0	5	-8.0
Max Christie	29:12	6	15	0.4	1	7	0.1	0	0	0.0	0	3	3	3	0	1	1	1	13	-13.0
Cooper Flagg	38:06	20	29	0.7	3	5	0.6	6	6	1.0	1	9	10	3	0	1	2	2	49	+2.0
Dwight Powell	5:01	0	0	0.0	0	0	0.0	0	0	0.0	2	0	2	0	0	0	0	1	0	-3.0
Brandon Williams	20:57	6	10	0.6	0	1	0.0	3	3	1.0	0	1	1	6	2	0	1	1	15	+11.0
Klay Thompson	27:01	6	15	0.4	4	11	0.4	0	0	0.0	1	2	3	1	1	0	0	3	16	+3.0
Moussa Cisse	17:18	0	1	0.0	0	0	0.0	3	4	0.8	2	3	5	0	1	1	0	2	3	+11.0
Jaden Hardy	5:41	0	1	0.0	0	1	0.0	0	0	0.0	0	1	1	1	0	0	0	0	0	+5.0
Ryan Nembhard	9:13	0	3	0.0	0	1	0.0	0	0	0.0	0	1	1	4	1	0	0	0	0	-2.0
