## Houston Rockets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kevin Durant	34:22	12	22	0.5	3	8	0.4	4	4	1.0	1	4	5	4	0	0	3	2	31	+12.0
Jabari Smith Jr.	31:36	5	12	0.4	2	6	0.3	2	2	1.0	2	6	8	3	3	5	3	0	14	+15.0
Alperen Sengun	27:55	3	14	0.2	0	0	0.0	3	4	0.8	7	6	13	4	0	3	2	3	9	+5.0
Josh Okogie	33:49	3	6	0.5	3	5	0.6	1	2	0.5	7	3	10	1	0	1	1	1	10	+14.0
Amen Thompson	35:00	4	9	0.4	0	0	0.0	1	4	0.2	2	5	7	5	2	3	0	1	9	+13.0
Jae'Sean Tate	19:13	2	6	0.3	0	2	0.0	0	0	0.0	2	1	3	0	1	0	1	1	4	+5.0
Reed Sheppard	25:46	5	14	0.4	3	7	0.4	0	0	0.0	0	4	4	4	1	0	1	1	13	+20.0
Clint Capela	17:51	4	4	1.0	0	0	0.0	2	2	1.0	1	6	7	2	1	2	0	0	10	+17.0
Aaron Holiday	7:58	1	4	0.2	1	2	0.5	1	2	0.5	0	2	2	0	0	0	0	2	4	+1.0
JD Davison	2:09	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-4.0
Isaiah Crawford	2:09	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-4.0
Jeff Green	2:09	0	1	0.0	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-4.0

## Atlanta Hawks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Vít Krejčí	26:59	4	7	0.6	1	3	0.3	0	0	0.0	0	4	4	1	2	0	1	5	9	+2.0
Corey Kispert	30:58	7	13	0.5	2	5	0.4	1	2	0.5	0	2	2	2	1	1	2	0	17	-17.0
Christian Koloko	25:40	3	7	0.4	0	2	0.0	0	0	0.0	3	4	7	2	1	1	1	4	6	-13.0
Dyson Daniels	31:29	2	12	0.2	0	3	0.0	0	0	0.0	4	2	6	7	3	0	1	2	4	+2.0
Nickeil Alexander-Walker	34:53	6	16	0.4	3	8	0.4	5	5	1.0	0	5	5	1	0	0	3	2	20	-26.0
CJ McCollum	30:35	9	19	0.5	5	11	0.5	0	0	0.0	2	3	5	2	0	0	3	1	23	-20.0
Mouhamed Gueye	20:30	1	8	0.1	0	3	0.0	0	0	0.0	1	2	3	2	0	1	0	2	2	-6.0
Luke Kennard	16:27	0	3	0.0	0	0	0.0	0	0	0.0	1	6	7	1	0	1	0	0	0	-5.0
Asa Newell	20:20	2	8	0.2	1	4	0.2	0	0	0.0	3	4	7	0	0	1	1	0	5	-11.0
Keaton Wallace	2:09	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	1	0	0	0	0	0	+4.0
