## Miami Heat — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Pelle Larsson	28:35	4	8	0.5	1	2	0.5	6	7	0.9	0	6	6	3	2	0	1	2	15	-5.0
Andrew Wiggins	32:49	4	9	0.4	1	3	0.3	1	2	0.5	1	2	3	2	1	0	4	1	10	-8.0
Bam Adebayo	33:53	7	19	0.4	2	8	0.2	4	4	1.0	2	10	12	2	0	0	1	0	20	+6.0
Norman Powell	30:15	7	16	0.4	2	4	0.5	5	6	0.8	0	0	0	1	2	0	4	2	21	-8.0
Kasparas Jakučionis	12:51	0	1	0.0	0	1	0.0	0	0	0.0	1	2	3	4	1	0	1	4	0	+1.0
Kel'el Ware	12:03	4	6	0.7	3	4	0.8	1	2	0.5	1	3	4	2	0	2	0	2	12	-4.0
Jaime Jaquez Jr.	32:06	8	13	0.6	1	3	0.3	2	2	1.0	1	9	10	6	3	0	0	0	19	+4.0
Dru Smith	22:34	4	8	0.5	2	4	0.5	1	1	1.0	2	3	5	5	3	0	1	2	11	+4.0
Simone Fontecchio	17:38	0	4	0.0	0	4	0.0	0	0	0.0	1	1	2	3	0	0	1	4	0	+13.0
Nikola Jović	17:15	4	9	0.4	0	3	0.0	0	0	0.0	1	3	4	1	0	0	0	2	8	+12.0

## Chicago Bulls — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Isaac Okoro	26:11	3	7	0.4	2	3	0.7	0	0	0.0	2	0	2	0	0	1	0	4	8	-7.0
Jalen Smith	15:19	4	7	0.6	1	1	1.0	2	2	1.0	3	2	5	0	0	0	1	1	11	-11.0
Nikola Vučević	37:22	6	18	0.3	1	5	0.2	2	2	1.0	3	7	10	3	0	0	2	3	15	+9.0
Matas Buzelis	33:44	6	15	0.4	2	5	0.4	2	3	0.7	3	6	9	4	1	1	1	4	16	+2.0
Coby White	31:33	2	11	0.2	2	8	0.2	8	10	0.8	0	4	4	8	2	0	3	5	14	+5.0
Ayo Dosunmu	31:23	8	16	0.5	1	4	0.2	6	6	1.0	3	4	7	5	0	0	4	2	23	-5.0
Kevin Huerter	32:35	5	12	0.4	4	9	0.4	1	2	0.5	1	9	10	3	1	2	0	0	15	+3.0
Patrick Williams	12:07	0	4	0.0	0	1	0.0	0	0	0.0	0	1	1	0	0	0	2	1	0	-10.0
Dalen Terry	14:58	2	3	0.7	2	2	1.0	2	2	1.0	1	3	4	2	1	0	2	0	8	-4.0
Julian Phillips	4:47	1	1	1.0	0	0	0.0	1	2	0.5	0	0	0	0	0	0	0	0	3	+3.0
