## Milwaukee Bucks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kyle Kuzma	34:39	8	18	0.4	0	3	0.0	3	3	1.0	1	8	9	6	0	0	3	3	19	-8.0
Bobby Portis	36:26	8	17	0.5	2	5	0.4	1	2	0.5	1	6	7	3	0	1	0	1	19	-21.0
Myles Turner	39:26	8	16	0.5	2	6	0.3	3	3	1.0	3	11	14	1	0	6	2	4	21	+2.0
AJ Green	36:57	1	6	0.2	0	4	0.0	0	1	0.0	0	2	2	3	0	1	1	3	2	-10.0
Ryan Rollins	26:29	7	13	0.5	3	5	0.6	0	0	0.0	0	3	3	8	4	0	1	3	17	-3.0
Andre Jackson Jr.	3:28	0	1	0.0	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	1	0	+1.0
Cole Anthony	17:36	2	11	0.2	1	6	0.2	0	0	0.0	0	2	2	1	1	0	1	3	5	-9.0
Gary Trent Jr.	24:50	1	6	0.2	1	5	0.2	0	0	0.0	0	0	0	2	1	1	1	0	3	-1.0
Pete Nance	20:08	6	10	0.6	1	3	0.3	0	0	0.0	2	4	6	1	1	0	0	2	13	-1.0

## Washington Wizards — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kyshawn George	35:33	10	24	0.4	2	8	0.2	1	1	1.0	2	3	5	5	2	1	1	1	23	+2.0
Khris Middleton	26:02	4	9	0.4	1	4	0.2	4	4	1.0	0	6	6	4	0	0	5	0	13	+6.0
Alex Sarr	31:31	6	13	0.5	1	3	0.3	3	4	0.8	7	10	17	2	1	2	2	2	16	+3.0
Tre Johnson	11:28	2	7	0.3	0	3	0.0	4	4	1.0	0	0	0	2	0	0	0	0	8	+10.0
Bilal Coulibaly	27:50	3	6	0.5	0	1	0.0	2	2	1.0	3	7	10	1	2	2	1	3	8	+14.0
Justin Champagnie	25:53	5	10	0.5	1	3	0.3	1	2	0.5	1	5	6	1	1	1	0	2	12	+9.0
Bub Carrington	28:31	4	9	0.4	2	5	0.4	3	3	1.0	1	3	4	6	1	0	3	0	13	-2.0
Jamir Watkins	20:40	1	7	0.1	0	3	0.0	2	2	1.0	1	8	9	0	1	1	1	2	4	+7.0
Will Riley	18:28	1	5	0.2	1	3	0.3	3	4	0.8	1	0	1	0	0	0	0	0	6	+3.0
Malaki Branham	14:03	2	6	0.3	0	2	0.0	2	2	1.0	2	1	3	0	0	0	0	1	6	-2.0
