## Oklahoma City Thunder — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Aaron Wiggins	24:46	3	8	0.4	2	4	0.5	2	2	1.0	1	3	4	5	2	0	3	1	10	-15.0
Jaylin Williams	26:59	2	6	0.3	1	3	0.3	0	0	0.0	0	4	4	1	1	0	0	0	5	-8.0
Chet Holmgren	30:01	6	10	0.6	1	2	0.5	2	2	1.0	2	3	5	2	1	3	1	0	15	-5.0
Luguentz Dort	27:17	2	7	0.3	1	2	0.5	0	0	0.0	2	2	4	2	0	0	0	3	5	-17.0
Shai Gilgeous-Alexander	31:25	12	18	0.7	1	2	0.5	5	5	1.0	0	6	6	8	1	0	5	3	30	-22.0
Isaiah Joe	25:09	2	7	0.3	2	6	0.3	0	0	0.0	0	3	3	3	3	1	1	1	6	-2.0
Cason Wallace	25:30	5	11	0.5	1	5	0.2	2	2	1.0	1	0	1	0	1	1	0	2	13	-9.0
Kenrich Williams	18:04	3	6	0.5	1	2	0.5	0	0	0.0	1	2	3	1	1	0	2	1	7	+1.0
Isaiah Hartenstein	18:20	3	6	0.5	0	0	0.0	5	6	0.8	3	2	5	2	0	0	2	4	11	-7.0
Chris Youngblood	4:09	1	4	0.2	1	4	0.2	2	3	0.7	0	0	0	2	0	0	0	0	5	+8.0
Ousmane Dieng	4:09	1	2	0.5	0	1	0.0	0	0	0.0	0	0	0	1	1	0	1	0	2	+8.0
Brooks Barnhizer	4:09	1	1	1.0	0	0	0.0	0	0	0.0	1	0	1	0	0	0	0	0	2	+8.0

## Minnesota Timberwolves — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jaden McDaniels	30:46	8	11	0.7	5	5	1.0	0	0	0.0	2	2	4	4	0	2	2	3	21	+18.0
Julius Randle	24:42	5	14	0.4	2	6	0.3	1	1	1.0	1	4	5	5	4	1	2	3	13	+13.0
Rudy Gobert	34:11	5	6	0.8	0	0	0.0	4	8	0.5	4	7	11	3	1	0	0	1	14	+20.0
Anthony Edwards	34:37	9	17	0.5	4	10	0.4	4	5	0.8	0	5	5	5	2	1	3	1	26	+24.0
Donte DiVincenzo	31:29	4	13	0.3	3	9	0.3	0	0	0.0	2	3	5	5	2	1	1	4	11	+12.0
Bones Hyland	23:27	3	9	0.3	3	6	0.5	0	0	0.0	4	0	4	1	2	0	5	3	9	+12.0
Naz Reid	28:43	6	10	0.6	4	8	0.5	2	4	0.5	1	6	7	2	0	1	2	3	18	+11.0
Jaylen Clark	14:42	3	4	0.8	1	2	0.5	0	0	0.0	1	2	3	1	0	1	0	2	7	0.0
Rob Dillingham	3:28	1	2	0.5	0	0	0.0	0	0	0.0	0	0	0	0	1	0	3	0	2	-10.0
Joe Ingles	3:28	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-10.0
Johnny Juzang	3:28	1	2	0.5	0	1	0.0	0	0	0.0	0	1	1	0	0	0	0	0	2	-10.0
Joan Beringer	3:28	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	0	1	0	0	-10.0
Leonard Miller	3:28	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	1	0	-10.0
