## Sacramento Kings — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Nique Clifford	26:57	1	7	0.1	0	1	0.0	0	0	0.0	2	4	6	2	0	1	2	1	2	+2.0
Precious Achiuwa	34:13	4	7	0.6	0	2	0.0	0	0	0.0	4	9	13	3	1	1	2	3	8	-1.0
Domantas Sabonis	28:14	6	10	0.6	0	1	0.0	2	4	0.5	4	3	7	3	0	0	3	4	14	-5.0
DeMar DeRozan	37:51	9	15	0.6	1	1	1.0	6	8	0.8	0	4	4	8	0	0	1	2	25	+2.0
Dennis Schröder	31:15	9	16	0.6	5	9	0.6	4	4	1.0	1	3	4	2	1	0	2	2	27	-12.0
Zach LaVine	28:41	5	16	0.3	2	6	0.3	5	5	1.0	0	1	1	3	2	0	3	3	17	-3.0
Dylan Cardwell	14:24	0	0	0.0	0	0	0.0	0	0	0.0	1	3	4	0	0	1	2	5	0	-7.0
Maxime Raynaud	18:47	3	4	0.8	0	1	0.0	2	2	1.0	3	4	7	0	1	0	1	5	8	+4.0
Keon Ellis	19:36	4	7	0.6	2	5	0.4	0	0	0.0	0	0	0	0	1	1	0	1	10	+10.0

## Philadelphia 76ers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kelly Oubre Jr.	37:15	1	3	0.3	0	1	0.0	2	2	1.0	0	3	3	0	0	0	1	2	4	+5.0
Paul George	36:04	7	15	0.5	1	4	0.2	0	0	0.0	0	2	2	5	2	0	1	1	15	+5.0
Joel Embiid	35:54	13	21	0.6	1	2	0.5	10	13	0.8	0	5	5	8	1	1	2	3	37	+9.0
VJ Edgecombe	35:04	2	7	0.3	1	5	0.2	0	0	0.0	2	3	5	3	3	0	1	1	5	0.0
Tyrese Maxey	40:35	12	18	0.7	4	9	0.4	12	13	0.9	0	4	4	8	1	0	2	3	40	+8.0
Dominick Barlow	20:47	1	1	1.0	0	0	0.0	3	3	1.0	0	1	1	0	1	0	0	4	5	-5.0
Jared McCain	15:08	2	4	0.5	0	2	0.0	0	0	0.0	0	1	1	1	0	0	2	1	4	-1.0
Adem Bona	8:17	0	1	0.0	0	0	0.0	0	0	0.0	0	2	2	0	0	2	0	3	0	-3.0
Justin Edwards	7:05	1	2	0.5	1	2	0.5	0	0	0.0	0	1	1	0	0	0	0	1	3	-4.0
Andre Drummond	3:47	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-4.0
