## Cleveland Cavaliers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jaylon Tyson	25:21	7	13	0.5	2	5	0.4	0	0	0.0	1	3	4	3	0	0	0	1	16	-30.0
Dean Wade	19:59	1	3	0.3	1	3	0.3	0	0	0.0	2	2	4	0	0	0	1	1	3	-14.0
Jarrett Allen	23:05	6	9	0.7	0	0	0.0	0	0	0.0	5	2	7	3	1	1	1	2	12	-27.0
Sam Merrill	18:46	4	12	0.3	2	7	0.3	0	0	0.0	1	1	2	2	0	0	1	3	10	-19.0
Donovan Mitchell	27:43	6	12	0.5	3	8	0.4	1	1	1.0	0	3	3	6	1	0	8	0	16	-10.0
Lonzo Ball	24:33	1	8	0.1	1	7	0.1	0	1	0.0	1	5	6	5	3	0	3	0	3	-10.0
De'Andre Hunter	22:52	7	15	0.5	2	7	0.3	1	3	0.3	0	3	3	1	3	0	3	2	17	-10.0
Thomas Bryant	24:42	3	6	0.5	3	5	0.6	0	0	0.0	0	6	6	6	0	1	1	1	9	+14.0
Nae'Qwan Tomlin	24:55	6	9	0.7	0	2	0.0	2	2	1.0	3	2	5	1	2	0	1	3	14	+14.0
Tyrese Proctor	17:50	1	5	0.2	0	3	0.0	2	2	1.0	0	0	0	5	1	0	3	3	4	+10.0
Larry Nance Jr.	10:12	3	5	0.6	1	1	1.0	2	2	1.0	3	0	3	2	2	0	0	1	9	+17.0

## Phoenix Suns — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Dillon Brooks	24:24	9	14	0.6	2	4	0.5	7	8	0.9	1	1	2	3	2	0	2	4	27	+24.0
Royce O'Neale	23:55	4	8	0.5	4	8	0.5	0	0	0.0	0	5	5	2	1	0	0	2	12	+19.0
Mark Williams	23:21	5	9	0.6	0	0	0.0	0	0	0.0	3	4	7	2	2	1	2	1	10	+18.0
Grayson Allen	26:56	4	8	0.5	2	5	0.4	3	5	0.6	2	3	5	5	1	0	2	0	13	+25.0
Collin Gillespie	24:05	5	8	0.6	4	6	0.7	2	3	0.7	0	2	2	5	2	0	1	3	16	+5.0
Jalen Green	15:34	4	9	0.4	3	7	0.4	0	0	0.0	0	4	4	1	1	0	2	1	11	+7.0
Oso Ighodaro	21:44	2	2	1.0	0	0	0.0	0	0	0.0	1	5	6	2	1	2	1	3	4	+2.0
Jordan Goodwin	22:15	6	11	0.5	5	8	0.6	0	0	0.0	1	4	5	1	3	0	1	0	17	+5.0
Ryan Dunn	17:39	0	5	0.0	0	4	0.0	0	0	0.0	0	3	3	3	1	1	3	1	0	-1.0
Jamaree Bouyea	21:17	3	6	0.5	1	3	0.3	0	0	0.0	0	0	0	5	1	1	2	1	7	+1.0
Isaiah Livers	7:28	1	2	0.5	1	2	0.5	1	2	0.5	0	1	1	2	0	0	2	1	4	-13.0
Rasheer Fleming	5:54	2	3	0.7	1	1	1.0	0	0	0.0	1	2	3	0	0	0	1	2	5	-13.0
Khaman Maluach	2:42	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-7.0
Nigel Hayes-Davis	2:42	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	1	0	0	-7.0
