## Detroit Pistons — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Ausar Thompson	28:52	3	10	0.3	0	0	0.0	1	4	0.2	1	7	8	2	6	0	2	3	7	+3.0
Tobias Harris	34:17	3	10	0.3	0	2	0.0	9	9	1.0	1	7	8	3	2	0	2	2	15	-2.0
Jalen Duren	29:32	7	14	0.5	0	0	0.0	7	10	0.7	6	7	13	3	1	0	1	5	21	+9.0
Duncan Robinson	29:37	5	11	0.5	5	10	0.5	0	0	0.0	1	1	2	2	0	0	2	2	15	-1.0
Cade Cunningham	34:50	11	19	0.6	2	4	0.5	5	6	0.8	0	4	4	11	0	1	3	2	29	+1.0
Isaiah Stewart	23:57	7	10	0.7	0	2	0.0	0	0	0.0	2	3	5	3	0	2	0	3	14	+2.0
Ronald Holland II	16:06	2	5	0.4	0	2	0.0	2	2	1.0	1	3	4	1	1	0	1	3	6	+3.0
Jaden Ivey	17:32	3	7	0.4	1	3	0.3	2	2	1.0	3	1	4	2	1	0	1	2	9	+8.0
Javonte Green	8:14	1	1	1.0	1	1	1.0	0	0	0.0	0	3	3	0	0	0	0	0	3	+5.0
Daniss Jenkins	17:02	4	8	0.5	1	2	0.5	3	3	1.0	0	2	2	4	2	0	2	1	12	+7.0

## Golden State Warriors — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Moses Moody	25:04	3	8	0.4	3	6	0.5	2	6	0.3	1	3	4	0	1	0	2	2	11	-3.0
Draymond Green	32:53	5	10	0.5	4	9	0.4	1	1	1.0	1	5	6	7	0	0	2	6	15	+2.0
Al Horford	23:17	5	9	0.6	1	4	0.2	2	2	1.0	1	6	7	3	2	1	1	1	13	-11.0
Brandin Podziemski	28:18	1	8	0.1	1	4	0.2	8	9	0.9	4	4	8	8	2	0	4	0	11	-7.0
Stephen Curry	25:24	7	16	0.4	4	10	0.4	5	5	1.0	0	1	1	2	0	1	4	0	23	-5.0
Will Richard	15:09	0	1	0.0	0	1	0.0	0	0	0.0	1	1	2	1	0	0	1	1	0	-8.0
De'Anthony Melton	25:31	7	13	0.5	1	4	0.2	3	3	1.0	0	5	5	3	2	0	2	4	18	-3.0
Quinten Post	13:37	1	6	0.2	0	4	0.0	4	4	1.0	1	1	2	1	1	0	1	2	6	-6.0
Gui Santos	25:27	7	9	0.8	2	3	0.7	0	1	0.0	1	0	1	1	2	1	0	2	16	-2.0
Buddy Hield	17:08	4	10	0.4	2	7	0.3	0	2	0.0	1	3	4	2	0	0	1	2	10	+1.0
Pat Spencer	8:08	0	0	0.0	0	0	0.0	1	2	0.5	0	2	2	3	0	1	0	0	1	+7.0
