## Los Angeles Lakers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jake LaRavia	25:09	1	3	0.3	0	2	0.0	1	2	0.5	1	5	6	1	3	1	0	2	3	+24.0
LeBron James	29:36	8	16	0.5	2	3	0.7	2	2	1.0	0	3	3	6	2	0	3	1	20	+25.0
Deandre Ayton	28:57	12	14	0.9	0	0	0.0	4	4	1.0	5	8	13	3	1	3	1	0	28	+30.0
Luka Dončić	30:32	13	21	0.6	6	13	0.5	5	7	0.7	0	11	11	13	3	0	5	0	37	+21.0
Marcus Smart	26:31	1	2	0.5	1	2	0.5	0	0	0.0	0	1	1	4	1	0	4	1	3	+21.0
Gabe Vincent	18:15	2	5	0.4	2	5	0.4	0	0	0.0	0	0	0	2	1	0	0	0	6	+3.0
Jaxson Hayes	13:34	4	5	0.8	0	0	0.0	2	2	1.0	1	2	3	1	1	0	0	0	10	-3.0
Rui Hachimura	17:40	3	5	0.6	2	3	0.7	3	6	0.5	0	2	2	2	0	0	1	1	11	-2.0
Jarred Vanderbilt	16:14	3	5	0.6	1	2	0.5	1	2	0.5	2	0	2	1	4	0	0	1	8	+7.0
Drew Timme	17:05	1	2	0.5	0	1	0.0	2	2	1.0	0	1	1	3	0	0	1	2	4	+17.0
Dalton Knecht	5:29	1	2	0.5	0	1	0.0	2	2	1.0	0	1	1	0	1	0	1	0	4	+4.0
Bronny James	5:29	1	3	0.3	0	1	0.0	2	3	0.7	0	0	0	1	0	0	0	0	4	+4.0
Maxi Kleber	5:29	2	2	1.0	0	0	0.0	0	0	0.0	2	1	3	1	0	0	0	0	4	+4.0

## Washington Wizards — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Justin Champagnie	23:42	4	7	0.6	1	3	0.3	0	0	0.0	2	2	4	0	0	0	0	2	9	-27.0
Kyshawn George	27:04	5	12	0.4	2	7	0.3	3	4	0.8	0	3	3	6	1	2	4	4	15	-17.0
Alex Sarr	28:18	8	14	0.6	0	3	0.0	0	0	0.0	3	3	6	5	2	0	1	2	16	-30.0
Bilal Coulibaly	24:10	3	11	0.3	0	5	0.0	1	2	0.5	1	1	2	2	0	0	0	0	7	-22.0
Bub Carrington	25:29	5	11	0.5	4	8	0.5	1	1	1.0	1	2	3	6	2	0	5	2	15	-28.0
Jamir Watkins	34:48	3	11	0.3	2	8	0.2	0	0	0.0	3	3	6	2	1	1	2	3	8	-15.0
Anthony Gill	17:04	4	5	0.8	0	0	0.0	1	1	1.0	5	5	10	0	0	1	1	1	9	+2.0
Will Riley	24:56	5	15	0.3	3	7	0.4	0	0	0.0	2	0	2	5	4	0	2	1	13	-5.0
Sharife Cooper	12:46	1	4	0.2	0	1	0.0	0	0	0.0	0	2	2	2	0	0	1	2	2	-10.0
Malaki Branham	21:43	6	9	0.7	4	6	0.7	1	2	0.5	0	1	1	0	0	0	2	2	17	-3.0
