## Portland Trail Blazers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Deni Avdija	28:27	4	14	0.3	1	6	0.2	2	3	0.7	0	5	5	3	0	1	4	1	11	-20.0
Toumani Camara	26:26	0	4	0.0	0	4	0.0	0	0	0.0	0	4	4	1	0	0	1	4	0	-22.0
Donovan Clingan	21:34	3	6	0.5	1	4	0.2	0	0	0.0	4	2	6	1	0	0	3	0	7	-26.0
Jrue Holiday	21:55	2	7	0.3	1	3	0.3	0	0	0.0	1	1	2	4	0	0	4	0	5	-16.0
Shaedon Sharpe	27:49	10	16	0.6	4	8	0.5	2	4	0.5	0	3	3	3	1	0	3	1	26	-11.0
Jerami Grant	22:01	4	9	0.4	2	5	0.4	5	6	0.8	0	1	1	2	0	0	4	2	15	-17.0
Robert Williams III	20:19	2	2	1.0	0	0	0.0	0	0	0.0	2	9	11	3	1	3	0	2	4	+1.0
Caleb Love	27:14	5	15	0.3	2	10	0.2	0	0	0.0	0	3	3	4	2	0	1	0	12	-11.0
Sidy Cissoko	26:46	5	5	1.0	2	2	1.0	3	4	0.8	1	1	2	2	1	1	0	2	15	-13.0
Rayan Rupert	9:17	0	3	0.0	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	1	0	-13.0
Yang Hansen	4:05	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-1.0
Javonte Cooke	4:05	0	0	0.0	0	0	0.0	2	2	1.0	0	0	0	0	0	0	0	0	2	-1.0

## New York Knicks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
OG Anunoby	30:50	10	16	0.6	4	8	0.5	0	0	0.0	1	5	6	3	0	1	3	3	24	+34.0
Josh Hart	29:46	9	17	0.5	1	4	0.2	1	2	0.5	2	4	6	5	2	1	2	4	20	+8.0
Karl-Anthony Towns	29:28	5	12	0.4	1	3	0.3	3	4	0.8	6	14	20	3	0	1	0	1	14	+17.0
Mikal Bridges	32:37	3	10	0.3	1	3	0.3	3	3	1.0	0	2	2	5	3	0	1	2	10	+27.0
Jalen Brunson	34:05	8	20	0.4	5	12	0.4	5	5	1.0	0	1	1	3	2	0	1	1	26	+21.0
Mitchell Robinson	17:04	1	1	1.0	0	0	0.0	0	0	0.0	4	3	7	2	0	0	1	3	2	-1.0
Landry Shamet	18:42	1	6	0.2	1	4	0.2	0	0	0.0	1	0	1	2	0	0	0	1	3	+10.0
Mohamed Diawara	17:27	4	8	0.5	2	5	0.4	0	0	0.0	0	3	3	2	1	0	2	2	10	+27.0
Tyler Kolek	17:45	5	7	0.7	3	5	0.6	0	0	0.0	0	2	2	4	1	0	2	1	13	+4.0
Dillon Jones	4:05	1	1	1.0	1	1	1.0	0	0	0.0	0	0	0	0	0	0	0	0	3	+1.0
Guerschon Yabusele	4:05	0	0	0.0	0	0	0.0	0	0	0.0	1	1	2	0	0	0	0	1	0	+1.0
Ariel Hukporti	4:05	1	1	1.0	0	0	0.0	0	0	0.0	1	1	2	0	0	0	1	2	2	+1.0
