## Sacramento Kings — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
DeMar DeRozan	18:01	2	10	0.2	0	2	0.0	2	3	0.7	0	1	1	2	0	0	0	2	6	-11.0
Precious Achiuwa	13:10	1	5	0.2	0	0	0.0	0	0	0.0	2	1	3	0	0	0	0	1	2	-8.0
Maxime Raynaud	36:04	6	7	0.9	1	1	1.0	1	1	1.0	3	11	14	1	0	1	2	2	14	-15.0
Zach LaVine	23:27	5	9	0.6	1	4	0.2	6	7	0.9	1	3	4	1	0	0	1	1	17	-28.0
Dennis Schröder	23:34	1	11	0.1	0	4	0.0	2	2	1.0	2	2	4	3	1	1	2	1	4	-24.0
Nique Clifford	33:58	5	12	0.4	3	7	0.4	2	2	1.0	1	2	3	1	0	0	1	2	15	-11.0
Malik Monk	22:59	3	14	0.2	2	6	0.3	4	4	1.0	0	3	3	4	0	0	2	1	12	+3.0
Dylan Cardwell	27:34	3	4	0.8	0	0	0.0	2	2	1.0	4	4	8	1	1	2	3	4	8	0.0
Keon Ellis	19:49	2	4	0.5	2	3	0.7	0	0	0.0	1	1	2	2	1	2	1	2	6	-4.0
Devin Carter	10:49	2	4	0.5	1	2	0.5	0	0	0.0	1	2	3	2	0	0	2	2	5	-3.0
Daeqwon Plowden	7:04	1	3	0.3	0	2	0.0	0	0	0.0	0	2	2	1	0	0	0	0	2	+4.0
Isaiah Stevens	3:31	0	0	0.0	0	0	0.0	2	2	1.0	0	0	0	1	1	0	0	0	2	+2.0

## Boston Celtics — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Baylor Scheierman	30:47	6	10	0.6	4	7	0.6	0	0	0.0	1	4	5	1	1	0	0	2	16	+25.0
Sam Hauser	29:31	3	9	0.3	2	8	0.2	2	2	1.0	0	3	3	1	0	0	1	2	10	+11.0
Neemias Queta	28:48	4	11	0.4	0	0	0.0	2	4	0.5	4	11	15	2	3	1	3	3	10	+25.0
Payton Pritchard	32:36	12	16	0.8	5	6	0.8	0	0	0.0	0	2	2	8	0	0	2	1	29	+20.0
Derrick White	32:32	3	7	0.4	1	3	0.3	0	0	0.0	0	2	2	9	1	2	0	0	7	+28.0
Anfernee Simons	26:22	6	16	0.4	2	10	0.2	2	2	1.0	0	2	2	1	0	0	0	2	16	-8.0
Luka Garza	15:41	4	5	0.8	1	1	1.0	2	3	0.7	6	2	8	1	1	1	0	2	11	-4.0
Hugo González	22:09	1	8	0.1	0	4	0.0	0	1	0.0	2	2	4	1	0	0	1	1	2	+9.0
Jordan Walsh	15:48	1	7	0.1	1	5	0.2	2	4	0.5	1	2	3	0	1	1	0	2	5	-8.0
Chris Boucher	3:31	1	3	0.3	1	3	0.3	0	0	0.0	0	0	0	0	0	0	0	1	3	-2.0
Josh Minott	2:15	1	1	1.0	1	1	1.0	0	0	0.0	0	0	0	1	0	0	0	1	3	-1.0
