## Toronto Raptors — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Brandon Ingram	35:22	13	23	0.6	4	8	0.5	5	7	0.7	0	3	3	2	1	1	0	3	35	-13.0
Scottie Barnes	35:34	7	12	0.6	0	3	0.0	5	7	0.7	0	8	8	6	0	4	2	4	19	+6.0
Collin Murray-Boyles	33:19	5	7	0.7	0	0	0.0	2	2	1.0	2	4	6	4	3	1	5	1	12	-19.0
RJ Barrett	31:03	6	14	0.4	0	5	0.0	4	5	0.8	2	1	3	5	1	0	2	2	16	-9.0
Immanuel Quickley	33:01	5	13	0.4	2	6	0.3	1	3	0.3	1	6	7	6	1	0	1	5	13	-16.0
Jamal Shead	21:19	2	4	0.5	0	1	0.0	0	0	0.0	0	1	1	4	0	0	0	1	4	-4.0
Sandro Mamukelashvili	23:58	1	4	0.2	0	3	0.0	6	6	1.0	2	2	4	4	2	0	0	5	8	-8.0
Ja'Kobe Walter	15:51	5	6	0.8	1	1	1.0	2	2	1.0	0	3	3	1	0	0	1	1	13	+13.0
Gradey Dick	7:24	0	1	0.0	0	1	0.0	0	0	0.0	0	2	2	1	0	0	1	2	0	-1.0
Ochai Agbaji	3:09	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	0	1	0	0	+1.0

## Orlando Magic — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Desmond Bane	36:24	11	15	0.7	7	10	0.7	3	3	1.0	0	1	1	2	0	0	2	4	32	+17.0
Paolo Banchero	40:36	5	11	0.5	1	1	1.0	9	11	0.8	0	9	9	6	2	1	3	2	20	+18.0
Wendell Carter Jr.	34:52	9	14	0.6	2	4	0.5	3	3	1.0	3	4	7	3	1	0	0	4	23	+23.0
Anthony Black	39:54	5	11	0.5	1	5	0.2	14	14	1.0	0	4	4	6	0	1	0	3	25	+14.0
Jalen Suggs	33:14	5	14	0.4	3	8	0.4	1	1	1.0	0	6	6	10	3	0	1	4	14	+13.0
Tyus Jones	10:20	1	2	0.5	1	1	1.0	0	0	0.0	0	0	0	1	0	0	2	0	3	-5.0
Tristan da Silva	22:12	3	6	0.5	2	4	0.5	0	0	0.0	0	1	1	0	0	1	0	3	8	-10.0
Jonathan Isaac	13:08	1	2	0.5	0	0	0.0	2	3	0.7	0	4	4	0	0	0	3	2	4	-13.0
Noah Penda	6:30	0	2	0.0	0	1	0.0	0	0	0.0	0	3	3	0	1	0	1	0	0	+2.0
Moritz Wagner	2:50	0	1	0.0	0	0	0.0	1	2	0.5	0	0	0	0	0	0	0	1	1	-9.0
