## Atlanta Hawks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Zaccharie Risacher	21:39	3	5	0.6	1	2	0.5	0	0	0.0	0	3	3	0	1	0	2	2	7	+9.0
Jalen Johnson	36:29	12	29	0.4	3	6	0.5	6	8	0.8	4	8	12	10	3	0	4	1	33	-5.0
Mouhamed Gueye	31:35	4	9	0.4	0	2	0.0	7	9	0.8	1	3	4	0	3	1	0	3	15	+4.0
Dyson Daniels	29:03	4	7	0.6	0	0	0.0	0	0	0.0	3	4	7	7	2	0	2	4	8	+5.0
Nickeil Alexander-Walker	35:08	7	17	0.4	3	7	0.4	4	6	0.7	1	2	3	5	1	1	0	3	21	-1.0
CJ McCollum	29:14	8	15	0.5	1	5	0.2	1	2	0.5	0	4	4	2	1	0	2	2	18	-11.0
Corey Kispert	22:05	4	6	0.7	2	4	0.5	1	1	1.0	0	2	2	1	0	0	0	1	11	-6.0
Christian Koloko	16:25	0	3	0.0	0	0	0.0	0	0	0.0	1	3	4	0	0	0	0	2	0	-9.0
Luke Kennard	18:19	4	6	0.7	1	2	0.5	2	2	1.0	0	0	0	0	0	0	0	0	11	-11.0

## Indiana Pacers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Johnny Furphy	12:55	0	3	0.0	0	2	0.0	0	0	0.0	0	2	2	1	0	0	3	2	0	-9.0
Jarace Walker	26:16	5	12	0.4	1	3	0.3	0	0	0.0	2	8	10	4	0	0	1	0	11	-9.0
Pascal Siakam	32:33	11	15	0.7	1	1	1.0	2	3	0.7	1	5	6	1	2	1	4	2	25	+6.0
Aaron Nesmith	33:30	8	10	0.8	3	4	0.8	4	4	1.0	0	1	1	1	0	0	2	4	23	-1.0
Andrew Nembhard	32:25	9	19	0.5	5	9	0.6	3	5	0.6	1	5	6	10	1	0	3	6	26	-1.0
Bennedict Mathurin	31:54	3	6	0.5	0	1	0.0	8	8	1.0	1	4	5	4	0	0	4	0	14	+16.0
Isaiah Jackson	6:01	0	0	0.0	0	0	0.0	0	0	0.0	2	3	5	1	0	1	1	3	0	+3.0
T.J. McConnell	15:34	3	7	0.4	0	0	0.0	0	0	0.0	1	2	3	4	2	0	1	1	6	+6.0
Ben Sheppard	17:41	3	6	0.5	2	4	0.5	0	0	0.0	3	4	7	3	1	0	2	1	8	+4.0
Jay Huff	31:09	6	11	0.5	3	8	0.4	1	1	1.0	0	6	6	0	0	2	2	2	16	+10.0
