## Chicago Bulls — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Isaac Okoro	34:24	7	12	0.6	2	2	1.0	4	6	0.7	0	1	1	3	1	0	1	3	20	+10.0
Matas Buzelis	33:04	7	15	0.5	3	7	0.4	4	4	1.0	0	8	8	4	0	1	8	1	21	+8.0
Patrick Williams	34:11	5	12	0.4	3	6	0.5	2	2	1.0	0	4	4	2	0	1	2	4	15	-6.0
Kevin Huerter	21:50	4	9	0.4	1	5	0.2	0	1	0.0	1	6	7	5	1	1	3	4	9	+8.0
Ayo Dosunmu	36:30	11	16	0.7	5	6	0.8	2	3	0.7	0	8	8	9	2	0	5	2	29	+10.0
Dalen Terry	28:42	4	8	0.5	1	3	0.3	0	1	0.0	0	3	3	7	0	0	2	1	9	+2.0
Jevon Carter	20:07	4	10	0.4	3	8	0.4	0	0	0.0	0	5	5	1	1	2	1	3	11	+2.0
Julian Phillips	12:02	1	1	1.0	0	0	0.0	1	1	1.0	0	1	1	0	1	0	1	0	3	+1.0
Lachlan Olbrich	8:09	1	1	1.0	0	0	0.0	0	0	0.0	0	3	3	1	0	0	0	2	2	+4.0
Yuki Kawamura	11:00	2	4	0.5	2	3	0.7	0	0	0.0	0	3	3	2	2	0	0	1	6	-4.0

## Miami Heat — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Myron Gardner	22:30	4	5	0.8	1	2	0.5	3	5	0.6	2	9	11	0	2	0	1	3	12	-4.0
Andrew Wiggins	32:46	6	16	0.4	3	9	0.3	2	3	0.7	0	1	1	1	3	1	4	0	17	-12.0
Bam Adebayo	36:21	7	18	0.4	1	8	0.1	6	9	0.7	3	8	11	1	1	0	3	1	21	-8.0
Pelle Larsson	32:51	7	11	0.6	2	5	0.4	6	7	0.9	1	6	7	4	5	0	2	2	22	-3.0
Kasparas Jakučionis	27:04	2	7	0.3	2	6	0.3	0	0	0.0	0	3	3	5	1	0	3	4	6	+2.0
Jaime Jaquez Jr.	32:23	8	16	0.5	1	3	0.3	3	4	0.8	1	5	6	7	2	1	4	4	20	-5.0
Simone Fontecchio	17:58	3	10	0.3	2	8	0.2	0	0	0.0	0	2	2	0	0	0	0	0	8	-2.0
Kel'el Ware	3:11	1	2	0.5	0	1	0.0	0	0	0.0	0	1	1	1	0	0	0	1	2	-2.0
Nikola Jović	15:00	1	6	0.2	0	2	0.0	0	0	0.0	0	2	2	1	1	1	2	1	2	-4.0
Dru Smith	19:55	2	4	0.5	1	3	0.3	3	3	1.0	2	1	3	6	2	1	0	3	8	+3.0
