## Dallas Mavericks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Cooper Flagg	38:55	13	25	0.5	1	4	0.2	7	10	0.7	1	11	12	5	0	1	2	1	34	+2.0
P.J. Washington	25:08	4	9	0.4	0	1	0.0	1	3	0.3	2	2	4	1	1	0	3	2	9	-12.0
Daniel Gafford	28:16	7	10	0.7	0	0	0.0	2	2	1.0	5	6	11	1	0	0	0	1	16	+1.0
Naji Marshall	31:39	3	11	0.3	0	1	0.0	2	6	0.3	1	7	8	2	0	0	0	1	8	-18.0
Max Christie	31:59	4	11	0.4	3	4	0.8	0	0	0.0	0	2	2	1	0	1	2	1	11	-7.0
Dwight Powell	6:24	0	1	0.0	0	0	0.0	0	0	0.0	0	3	3	0	0	0	0	2	0	-12.0
Brandon Williams	8:58	5	7	0.7	2	3	0.7	1	1	1.0	0	0	0	0	0	0	1	1	13	+3.0
Caleb Martin	16:43	1	4	0.2	1	1	1.0	1	2	0.5	1	3	4	5	2	0	0	0	4	+7.0
Klay Thompson	27:34	3	9	0.3	3	7	0.4	0	0	0.0	1	1	2	0	0	0	2	1	9	+7.0
Moussa Cisse	13:20	1	1	1.0	0	0	0.0	1	2	0.5	0	1	1	1	0	1	0	2	3	+7.0
Ryan Nembhard	11:03	0	4	0.0	0	2	0.0	0	0	0.0	0	1	1	3	0	1	1	0	0	+2.0

## Houston Rockets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kevin Durant	38:15	6	17	0.4	1	4	0.2	0	0	0.0	0	5	5	8	2	0	1	2	13	+1.0
Jabari Smith Jr.	33:16	7	13	0.5	3	5	0.6	2	2	1.0	2	6	8	2	0	3	0	2	19	+12.0
Alperen Sengun	34:49	6	20	0.3	0	0	0.0	2	4	0.5	6	8	14	7	0	0	2	4	14	-3.0
Tari Eason	31:24	7	15	0.5	3	5	0.6	0	0	0.0	3	4	7	3	2	0	1	4	17	+5.0
Amen Thompson	40:39	7	15	0.5	0	0	0.0	7	9	0.8	5	3	8	9	2	0	0	0	21	+15.0
Josh Okogie	21:20	5	11	0.5	3	6	0.5	0	0	0.0	1	4	5	1	1	1	0	4	13	+1.0
Reed Sheppard	17:16	3	8	0.4	0	4	0.0	0	0	0.0	0	1	1	1	2	1	1	3	6	-4.0
Dorian Finney-Smith	10:18	1	3	0.3	0	2	0.0	0	0	0.0	1	0	1	1	0	1	0	0	2	-12.0
Clint Capela	12:42	3	6	0.5	0	0	0.0	0	0	0.0	0	4	4	1	1	0	0	1	6	+5.0
