## New Orleans Pelicans — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Saddiq Bey	31:41	12	19	0.6	4	7	0.6	6	6	1.0	1	5	6	3	0	0	1	1	34	-8.0
Zion Williamson	29:50	2	6	0.3	0	0	0.0	7	9	0.8	2	3	5	2	0	2	2	1	11	-17.0
Derik Queen	18:43	3	8	0.4	1	1	1.0	2	2	1.0	2	4	6	2	0	1	3	3	9	-10.0
Trey Murphy III	37:50	8	21	0.4	3	11	0.3	0	0	0.0	2	7	9	2	0	1	0	2	19	-7.0
Herbert Jones	30:41	2	5	0.4	1	3	0.3	0	0	0.0	0	1	1	5	0	0	1	1	5	-13.0
Jeremiah Fears	21:21	4	12	0.3	2	4	0.5	2	2	1.0	0	4	4	1	2	1	0	2	12	+7.0
Karlo Matković	15:38	1	1	1.0	0	0	0.0	0	0	0.0	1	4	5	1	2	2	2	1	2	+8.0
Yves Missi	27:59	3	8	0.4	0	0	0.0	1	2	0.5	3	5	8	3	0	4	0	2	7	+4.0
Micah Peavy	8:40	2	4	0.5	1	2	0.5	0	0	0.0	0	0	0	1	0	0	1	1	5	-4.0
Jose Alvarado	17:36	3	8	0.4	3	8	0.4	1	1	1.0	0	2	2	3	1	0	0	2	10	-10.0

## Philadelphia 76ers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kelly Oubre Jr.	30:14	7	13	0.5	3	7	0.4	2	4	0.5	1	9	10	4	0	0	0	4	19	+11.0
Dominick Barlow	28:13	3	4	0.8	0	1	0.0	2	2	1.0	0	3	3	0	2	0	0	0	8	+14.0
Joel Embiid	39:01	13	27	0.5	3	5	0.6	11	14	0.8	4	7	11	4	1	2	5	2	40	+16.0
VJ Edgecombe	37:06	6	10	0.6	2	5	0.4	1	1	1.0	0	3	3	5	1	0	1	1	15	+7.0
Tyrese Maxey	35:15	7	18	0.4	4	9	0.4	0	0	0.0	0	5	5	8	1	0	1	3	18	+5.0
Quentin Grimes	15:49	2	3	0.7	0	1	0.0	0	0	0.0	1	3	4	2	0	0	0	0	4	-3.0
Jabari Walker	8:08	0	2	0.0	0	0	0.0	0	0	0.0	0	2	2	0	0	0	0	0	0	0.0
Adem Bona	12:45	1	5	0.2	0	0	0.0	1	2	0.5	2	4	6	0	0	2	2	1	3	-2.0
Trendon Watford	16:47	2	5	0.4	1	2	0.5	0	0	0.0	2	4	6	4	0	0	0	3	5	-2.0
Jared McCain	16:39	4	7	0.6	4	6	0.7	0	0	0.0	2	0	2	1	0	0	0	3	12	+4.0
