## Brooklyn Nets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Terance Mann	20:27	2	3	0.7	0	1	0.0	0	0	0.0	0	2	2	1	0	0	1	2	4	-34.0
Danny Wolf	28:38	2	9	0.2	0	5	0.0	2	2	1.0	2	8	10	4	0	1	4	3	6	-43.0
Nic Claxton	17:24	5	9	0.6	0	0	0.0	0	0	0.0	2	0	2	1	1	0	1	2	10	-32.0
Egor Dëmin	14:34	0	4	0.0	0	4	0.0	3	3	1.0	0	0	0	1	0	0	1	0	3	-20.0
Nolan Traore	17:11	2	7	0.3	1	3	0.3	0	0	0.0	0	1	1	2	0	1	4	3	5	-18.0
Drake Powell	32:09	3	7	0.4	1	3	0.3	5	5	1.0	1	2	3	1	0	0	0	1	12	-30.0
Day'Ron Sharpe	22:12	2	5	0.4	0	0	0.0	4	6	0.7	3	8	11	0	0	0	5	1	8	-12.0
Cam Thomas	23:05	4	10	0.4	3	6	0.5	1	1	1.0	1	2	3	3	0	0	4	1	12	-19.0
Ben Saraf	18:49	0	5	0.0	0	2	0.0	4	6	0.7	0	1	1	4	2	0	0	1	4	-20.0
Jalen Wilson	27:26	2	8	0.2	1	3	0.3	3	4	0.8	1	6	7	0	0	0	2	5	8	-16.0
E.J. Liddell	9:41	2	4	0.5	1	2	0.5	0	0	0.0	0	2	2	0	0	0	0	0	5	-12.0
Tyrese Martin	8:24	0	2	0.0	0	2	0.0	0	0	0.0	0	1	1	0	0	0	1	0	0	-9.0

## Detroit Pistons — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Ausar Thompson	24:57	4	5	0.8	1	1	1.0	0	0	0.0	2	6	8	3	3	2	0	1	9	+43.0
Tobias Harris	19:45	2	4	0.5	1	2	0.5	6	6	1.0	0	2	2	3	1	0	0	0	11	+33.0
Jalen Duren	24:09	8	12	0.7	0	0	0.0	5	6	0.8	2	8	10	3	2	0	0	2	21	+42.0
Duncan Robinson	21:49	3	8	0.4	2	5	0.4	0	0	0.0	0	3	3	1	1	0	0	0	8	+41.0
Cade Cunningham	26:08	7	11	0.6	1	4	0.2	3	7	0.4	1	3	4	12	4	3	2	3	18	+34.0
Isaiah Stewart	20:58	3	6	0.5	0	1	0.0	3	4	0.8	0	1	1	1	0	1	1	4	9	+8.0
Jaden Ivey	20:34	3	9	0.3	2	6	0.3	0	0	0.0	0	2	2	1	1	0	0	2	8	+8.0
Ronald Holland II	19:50	3	9	0.3	0	5	0.0	0	0	0.0	0	2	2	2	2	0	2	5	6	+16.0
Daniss Jenkins	19:37	6	9	0.7	1	2	0.5	5	6	0.8	0	4	4	1	0	0	0	2	18	+6.0
Javonte Green	18:59	3	3	1.0	2	2	1.0	0	0	0.0	0	3	3	1	0	0	1	1	8	+17.0
Marcus Sasser	14:48	4	6	0.7	2	4	0.5	0	0	0.0	0	0	0	4	3	0	0	1	10	+8.0
Paul Reed	8:24	2	3	0.7	0	0	0.0	0	0	0.0	0	4	4	1	0	0	0	0	4	+9.0
