## Cleveland Cavaliers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jaylon Tyson	29:30	7	12	0.6	4	4	1.0	0	0	0.0	1	2	3	6	0	0	4	0	18	+25.0
Dean Wade	26:24	2	5	0.4	2	4	0.5	0	0	0.0	0	3	3	1	3	0	0	3	6	+32.0
Jarrett Allen	29:30	16	23	0.7	0	1	0.0	8	12	0.7	6	11	17	5	2	4	0	0	40	+25.0
Sam Merrill	29:22	7	9	0.8	6	8	0.8	2	2	1.0	0	2	2	4	0	0	1	2	22	+25.0
Donovan Mitchell	31:27	6	15	0.4	2	7	0.3	0	0	0.0	0	0	0	9	2	1	3	3	14	+6.0
Craig Porter Jr.	27:42	1	5	0.2	0	1	0.0	1	2	0.5	0	4	4	12	5	2	1	2	3	+2.0
Lonzo Ball	16:26	1	2	0.5	1	2	0.5	0	0	0.0	0	3	3	2	1	0	0	1	3	-10.0
Thomas Bryant	13:33	4	8	0.5	1	4	0.2	1	1	1.0	0	1	1	0	0	0	2	3	10	-2.0
Nae'Qwan Tomlin	21:27	5	8	0.6	0	2	0.0	2	2	1.0	0	1	1	0	1	0	0	1	12	-7.0
Larry Nance Jr.	9:27	0	2	0.0	0	1	0.0	0	0	0.0	1	2	3	0	1	0	1	0	0	-5.0
Tristan Enaruna	2:34	1	1	1.0	0	0	0.0	0	0	0.0	2	0	2	1	0	0	0	0	2	+2.0
Tyrese Proctor	2:34	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0	1	0	0	1	0	0	+2.0

## Portland Trail Blazers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Sidy Cissoko	31:51	5	9	0.6	3	7	0.4	2	3	0.7	1	4	5	2	2	0	3	2	15	-19.0
Toumani Camara	29:38	5	13	0.4	2	7	0.3	0	0	0.0	2	2	4	1	0	0	2	3	12	-9.0
Donovan Clingan	26:58	3	10	0.3	1	3	0.3	1	1	1.0	4	8	12	5	0	4	0	4	8	-13.0
Jerami Grant	28:10	5	13	0.4	1	4	0.2	4	6	0.7	0	2	2	1	1	0	2	1	15	-1.0
Shaedon Sharpe	31:45	9	21	0.4	2	8	0.2	0	0	0.0	0	2	2	3	0	0	4	0	20	-24.0
Rayan Rupert	19:23	1	6	0.2	1	5	0.2	0	0	0.0	2	2	4	2	0	0	2	2	3	-14.0
Caleb Love	29:39	8	15	0.5	3	8	0.4	2	2	1.0	1	1	2	3	2	0	2	2	21	-5.0
Blake Wesley	19:05	2	3	0.7	1	1	1.0	0	0	0.0	2	1	3	4	1	0	3	2	5	-2.0
Robert Williams III	18:22	5	6	0.8	0	0	0.0	0	0	0.0	4	8	12	2	0	1	2	1	10	-4.0
Yang Hansen	2:34	0	0	0.0	0	0	0.0	0	0	0.0	1	0	1	1	0	0	1	0	0	-2.0
Javonte Cooke	2:34	1	2	0.5	0	1	0.0	0	0	0.0	0	0	0	0	1	0	1	0	2	-2.0
