## Los Angeles Clippers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kawhi Leonard	29:57	9	20	0.5	1	5	0.2	6	10	0.6	3	5	8	5	0	0	2	1	25	+6.0
John Collins	28:15	6	10	0.6	1	3	0.3	3	4	0.8	4	5	9	2	0	0	0	1	16	0.0
Ivica Zubac	33:19	5	5	1.0	0	0	0.0	4	9	0.4	3	17	20	1	0	1	1	2	14	+9.0
Kobe Sanders	31:13	5	9	0.6	2	4	0.5	0	0	0.0	0	2	2	4	0	0	2	3	12	+16.0
Kris Dunn	30:15	2	8	0.2	0	2	0.0	4	5	0.8	1	4	5	3	1	0	5	5	8	-3.0
Brook Lopez	20:46	3	7	0.4	1	2	0.5	1	1	1.0	1	0	1	3	0	1	0	3	8	+19.0
Nicolas Batum	22:14	1	4	0.2	1	4	0.2	0	0	0.0	1	7	8	2	0	0	2	2	3	+16.0
Jordan Miller	23:55	7	12	0.6	3	4	0.8	3	4	0.8	1	4	5	2	0	0	3	1	20	+18.0
Cam Christie	14:12	3	6	0.5	0	0	0.0	0	0	0.0	1	2	3	1	0	0	1	0	6	+25.0
Yanic Konan Niederhäuser	2:57	1	1	1.0	0	0	0.0	1	1	1.0	0	1	1	0	0	1	0	0	3	+7.0
Kobe Brown	2:57	1	1	1.0	0	0	0.0	0	0	0.0	0	1	1	2	1	0	1	0	2	+7.0

## Phoenix Suns — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Dillon Brooks	34:37	7	20	0.3	4	6	0.7	4	6	0.7	1	4	5	1	0	0	0	5	22	-1.0
Royce O'Neale	33:57	3	8	0.4	3	8	0.4	0	0	0.0	0	4	4	3	0	0	1	2	9	-4.0
Mark Williams	23:35	3	6	0.5	0	0	0.0	1	2	0.5	3	4	7	4	0	1	1	6	7	-1.0
Grayson Allen	36:24	7	21	0.3	4	13	0.3	5	6	0.8	0	1	1	8	2	0	0	3	23	-3.0
Collin Gillespie	27:03	4	13	0.3	4	10	0.4	0	0	0.0	1	3	4	2	1	0	0	0	12	-15.0
Jordan Goodwin	23:35	4	9	0.4	4	7	0.6	0	0	0.0	1	5	6	1	2	0	0	3	12	-6.0
Oso Ighodaro	18:05	1	3	0.3	0	0	0.0	2	2	1.0	0	2	2	0	0	1	1	3	4	-19.0
Jamaree Bouyea	9:59	1	4	0.2	0	0	0.0	0	0	0.0	1	0	1	0	1	0	0	1	2	-13.0
Ryan Dunn	12:04	0	5	0.0	0	1	0.0	0	2	0.0	1	1	2	1	1	0	0	2	0	-17.0
Isaiah Livers	14:03	1	3	0.3	0	1	0.0	0	0	0.0	1	0	1	1	0	1	0	1	2	-27.0
Khaman Maluach	3:18	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	1	0	0	0	-7.0
Rasheer Fleming	3:18	0	1	0.0	0	0	0.0	0	0	0.0	1	0	1	0	0	0	1	0	0	-7.0
