## Los Angeles Lakers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
LeBron James	34:33	9	15	0.6	2	6	0.3	2	6	0.3	1	4	5	6	1	0	1	0	22	-17.0
Jake LaRavia	23:16	2	7	0.3	1	6	0.2	0	0	0.0	0	2	2	2	1	1	2	3	5	-19.0
Deandre Ayton	32:06	6	6	1.0	0	0	0.0	1	1	1.0	4	1	5	1	1	0	0	3	13	-12.0
Luka Dončić	36:52	10	23	0.4	5	14	0.4	5	6	0.8	0	15	15	8	0	0	3	2	30	-13.0
Marcus Smart	30:13	2	9	0.2	1	4	0.2	2	2	1.0	0	0	0	3	1	0	2	1	7	-19.0
Gabe Vincent	17:52	3	5	0.6	2	4	0.5	0	0	0.0	0	1	1	0	0	0	1	1	8	+7.0
Jaxson Hayes	12:20	1	2	0.5	0	0	0.0	0	0	0.0	1	1	2	0	0	2	0	2	2	+2.0
Rui Hachimura	28:59	5	11	0.5	1	5	0.2	0	0	0.0	0	3	3	1	0	0	1	0	11	-1.0
Jarred Vanderbilt	19:49	0	4	0.0	0	3	0.0	1	2	0.5	1	1	2	0	1	0	0	2	1	+8.0
Dalton Knecht	0:59	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	+1.0
Maxi Kleber	0:59	0	0	0.0	0	0	0.0	1	2	0.5	0	1	1	0	0	0	0	0	1	+1.0
Drew Timme	0:59	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	+1.0
Nick Smith Jr.	0:59	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	+1.0

## New York Knicks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
OG Anunoby	33:47	9	15	0.6	4	8	0.5	3	4	0.8	3	5	8	3	3	0	1	1	25	+21.0
Josh Hart	36:18	8	11	0.7	3	4	0.8	1	1	1.0	0	4	4	2	0	1	0	3	20	+7.0
Karl-Anthony Towns	32:02	5	11	0.5	0	1	0.0	1	2	0.5	5	8	13	4	2	0	3	3	11	+23.0
Mikal Bridges	30:08	5	12	0.4	0	6	0.0	0	0	0.0	0	0	0	2	1	0	0	1	10	+3.0
Jalen Brunson	36:41	4	15	0.3	2	6	0.3	2	2	1.0	1	6	7	13	1	0	1	0	12	+11.0
Landry Shamet	26:22	8	13	0.6	6	10	0.6	1	2	0.5	1	2	3	1	0	0	0	2	23	-1.0
Mohamed Diawara	5:25	1	1	1.0	1	1	1.0	0	0	0.0	0	0	0	0	0	0	1	3	3	-4.0
Mitchell Robinson	23:15	0	1	0.0	0	0	0.0	0	0	0.0	3	4	7	1	0	1	1	0	0	0.0
Tyler Kolek	13:36	3	10	0.3	2	6	0.3	0	0	0.0	0	2	2	4	0	0	0	1	8	+3.0
Dillon Jones	0:47	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-1.0
Trey Jemison III	0:47	0	0	0.0	0	0	0.0	0	0	0.0	1	1	2	0	0	0	0	0	0	-1.0
Ariel Hukporti	0:47	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	1	0	-1.0
