## Milwaukee Bucks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kyle Kuzma	34:11	5	13	0.4	2	4	0.5	4	6	0.7	1	4	5	2	1	0	1	1	16	-1.0
Bobby Portis	37:08	4	13	0.3	0	2	0.0	0	0	0.0	3	9	12	3	1	0	3	2	8	-13.0
Myles Turner	26:22	2	8	0.2	1	4	0.2	2	2	1.0	1	3	4	1	2	0	2	2	7	-21.0
AJ Green	29:15	1	5	0.2	1	5	0.2	0	0	0.0	0	2	2	1	0	0	0	1	3	-27.0
Ryan Rollins	36:10	10	16	0.6	3	4	0.8	2	4	0.5	2	4	6	7	1	0	3	2	25	-15.0
Gary Trent Jr.	25:10	2	8	0.2	2	7	0.3	3	3	1.0	0	1	1	0	0	0	0	2	9	-18.0
Pete Nance	18:08	3	6	0.5	1	3	0.3	0	0	0.0	1	3	4	0	0	0	1	4	7	-16.0
Amir Coffey	3:32	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-4.0
Cole Anthony	14:51	1	7	0.1	0	2	0.0	0	0	0.0	2	0	2	3	0	0	0	2	2	-16.0
Andre Jackson Jr.	8:16	0	5	0.0	0	3	0.0	0	0	0.0	1	1	2	0	0	0	0	1	0	-5.0
Jericho Sims	4:23	1	1	1.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	2	-4.0
Thanasis Antetokounmpo	2:32	0	0	0.0	0	0	0.0	0	0	0.0	1	1	2	0	0	0	0	0	0	0.0

## Boston Celtics — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jaylen Brown	29:29	12	20	0.6	4	6	0.7	2	3	0.7	1	12	13	2	1	0	4	1	30	+16.0
Sam Hauser	27:17	1	9	0.1	1	7	0.1	0	0	0.0	0	1	1	1	0	0	0	2	3	+20.0
Neemias Queta	30:45	7	10	0.7	0	0	0.0	0	0	0.0	3	5	8	4	0	1	2	4	14	+17.0
Payton Pritchard	26:39	2	8	0.2	1	4	0.2	2	2	1.0	0	3	3	5	0	0	0	1	7	+10.0
Derrick White	32:13	6	14	0.4	3	7	0.4	2	2	1.0	3	4	7	8	1	0	1	2	17	+27.0
Anfernee Simons	24:46	10	18	0.6	6	10	0.6	1	1	1.0	2	1	3	1	0	0	0	2	27	+10.0
Hugo González	17:19	0	3	0.0	0	3	0.0	0	0	0.0	0	5	5	0	2	0	1	1	0	+11.0
Luka Garza	13:02	1	2	0.5	0	1	0.0	1	2	0.5	1	1	2	0	0	0	0	0	3	+7.0
Baylor Scheierman	13:15	0	2	0.0	0	1	0.0	0	0	0.0	1	3	4	0	0	0	0	0	0	+13.0
Jordan Walsh	19:49	2	6	0.3	0	3	0.0	2	3	0.7	5	0	5	3	0	1	1	3	6	+8.0
Amari Williams	4:05	0	0	0.0	0	0	0.0	0	0	0.0	1	0	1	0	0	0	0	0	0	+4.0
Josh Minott	1:20	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-3.0
