## Oklahoma City Thunder — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Luguentz Dort	32:17	2	9	0.2	2	6	0.3	0	0	0.0	1	3	4	1	0	0	1	3	6	+16.0
Chet Holmgren	28:08	3	10	0.3	1	7	0.1	7	8	0.9	0	4	4	1	0	3	1	2	14	+10.0
Isaiah Hartenstein	21:32	2	4	0.5	0	0	0.0	0	0	0.0	2	3	5	1	1	0	3	4	4	+4.0
Cason Wallace	29:49	9	14	0.6	7	11	0.6	2	3	0.7	3	3	6	0	2	0	0	1	27	+14.0
Shai Gilgeous-Alexander	33:26	11	16	0.7	1	2	0.5	11	13	0.8	1	4	5	13	2	1	4	2	34	+22.0
Aaron Wiggins	25:00	5	9	0.6	3	6	0.5	1	2	0.5	1	5	6	0	2	1	1	3	14	+6.0
Jaylin Williams	24:22	3	5	0.6	2	3	0.7	0	0	0.0	2	3	5	4	3	1	1	3	8	+7.0
Isaiah Joe	22:38	3	9	0.3	3	9	0.3	0	0	0.0	0	2	2	1	0	0	1	1	9	-7.0
Kenrich Williams	17:44	2	6	0.3	0	2	0.0	1	1	1.0	2	0	2	2	2	0	1	0	5	-6.0
Brooks Barnhizer	2:33	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	2	0	-8.0
Ousmane Dieng	2:31	0	3	0.0	0	2	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-8.0

## Denver Nuggets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Spencer Jones	27:39	2	2	1.0	2	2	1.0	0	0	0.0	1	1	2	0	1	0	1	5	6	-22.0
Peyton Watson	37:23	11	17	0.6	5	7	0.7	2	4	0.5	0	5	5	3	1	1	4	3	29	-9.0
Nikola Jokić	29:22	6	9	0.7	1	2	0.5	3	4	0.8	2	5	7	8	1	0	6	2	16	-7.0
Jalen Pickett	18:07	3	3	1.0	1	1	1.0	0	0	0.0	1	1	2	1	0	0	1	0	7	-9.0
Jamal Murray	35:06	4	16	0.2	1	8	0.1	3	4	0.8	0	5	5	12	1	1	1	1	12	-13.0
Tim Hardaway Jr.	25:17	0	6	0.0	0	4	0.0	3	4	0.8	0	6	6	0	3	1	1	2	3	-6.0
Jonas Valančiūnas	13:19	6	11	0.5	1	2	0.5	0	0	0.0	2	1	3	2	0	1	2	3	13	-8.0
Bruce Brown	21:46	2	6	0.3	2	4	0.5	3	4	0.8	1	2	3	0	0	0	0	3	9	+1.0
Julian Strawther	22:28	3	6	0.5	2	4	0.5	1	2	0.5	1	3	4	3	2	0	1	0	9	+2.0
Hunter Tyson	3:11	1	1	1.0	1	1	1.0	2	2	1.0	0	1	1	0	0	0	0	0	5	+7.0
DaRon Holmes II	3:11	1	1	1.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	2	+7.0
Zeke Nnaji	3:11	0	1	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	0	0	1	0	+7.0
