## Orlando Magic — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Desmond Bane	37:11	10	17	0.6	1	2	0.5	4	4	1.0	1	3	4	4	1	0	2	4	25	-10.0
Paolo Banchero	35:04	6	12	0.5	1	1	1.0	6	8	0.8	2	8	10	4	1	0	4	1	19	-30.0
Wendell Carter Jr.	19:22	1	7	0.1	0	2	0.0	0	0	0.0	0	2	2	0	2	0	0	5	2	-24.0
Anthony Black	29:48	4	12	0.3	2	5	0.4	1	1	1.0	0	1	1	2	2	0	2	3	11	-24.0
Jalen Suggs	32:27	2	13	0.2	1	6	0.2	0	0	0.0	1	5	6	6	1	1	4	1	5	-15.0
Moritz Wagner	7:50	3	6	0.5	2	4	0.5	0	0	0.0	0	0	0	0	0	0	0	1	8	-7.0
Tyus Jones	9:29	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	2	0	0	0	0	0	-5.0
Tristan da Silva	27:51	3	9	0.3	1	5	0.2	0	0	0.0	0	5	5	3	1	0	1	0	7	+9.0
Jonathan Isaac	14:45	4	6	0.7	1	2	0.5	0	0	0.0	1	0	1	1	2	0	0	2	9	+11.0
Noah Penda	13:16	3	5	0.6	0	2	0.0	1	1	1.0	1	1	2	2	1	0	0	1	7	+23.0
Goga Bitadze	8:36	2	2	1.0	0	0	0.0	0	0	0.0	0	2	2	0	0	0	0	1	4	+11.0
Jase Richardson	2:10	1	1	1.0	0	0	0.0	1	1	1.0	0	0	0	0	0	0	0	0	3	+8.0
Jett Howard	2:10	1	1	1.0	1	1	1.0	0	0	0.0	0	0	0	0	0	0	0	0	3	+8.0

## San Antonio Spurs — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Julian Champagnie	30:58	3	7	0.4	2	6	0.3	3	3	1.0	0	8	8	1	0	0	0	4	11	+23.0
Harrison Barnes	28:41	2	5	0.4	1	3	0.3	2	4	0.5	2	3	5	1	0	0	1	1	7	+10.0
Victor Wembanyama	27:57	7	13	0.5	0	4	0.0	11	15	0.7	0	8	8	2	4	5	2	3	25	+14.0
Devin Vassell	27:32	7	13	0.5	2	5	0.4	0	0	0.0	0	2	2	3	0	0	2	1	16	+17.0
De'Aaron Fox	29:57	7	14	0.5	0	3	0.0	0	0	0.0	0	3	3	10	1	0	3	1	14	+9.0
Dylan Harper	27:36	6	12	0.5	1	5	0.2	2	4	0.5	0	6	6	5	1	1	2	3	15	+9.0
Keldon Johnson	25:12	5	9	0.6	1	2	0.5	3	4	0.8	3	7	10	1	0	0	3	3	14	+10.0
Luke Kornet	17:53	1	2	0.5	0	0	0.0	0	0	0.0	2	2	4	3	2	0	1	3	2	+3.0
Carter Bryant	15:32	2	6	0.3	1	1	1.0	1	2	0.5	1	1	2	0	0	0	0	2	6	-18.0
Jordan McLaughlin	2:10	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	1	0	0	0	0	0	-8.0
Stanley Umude	2:10	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	1	0	-8.0
Lindy Waters III	2:10	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	1	0	0	-8.0
Harrison Ingram	2:10	1	1	1.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	2	-8.0
