## Sacramento Kings — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
DeMar DeRozan	32:32	10	16	0.6	1	1	1.0	11	12	0.9	0	2	2	5	0	1	3	1	32	-14.0
Precious Achiuwa	9:16	2	7	0.3	1	1	1.0	0	0	0.0	3	1	4	0	0	0	1	0	5	-11.0
Maxime Raynaud	27:24	6	9	0.7	1	1	1.0	1	2	0.5	3	3	6	1	1	2	2	4	14	-1.0
Nique Clifford	28:57	1	3	0.3	0	0	0.0	4	4	1.0	2	1	3	4	2	0	1	2	6	-5.0
Zach LaVine	35:25	13	26	0.5	4	10	0.4	5	5	1.0	0	6	6	2	1	0	2	1	35	-8.0
Dylan Cardwell	20:08	2	2	1.0	0	0	0.0	1	2	0.5	1	1	2	0	0	3	1	3	5	0.0
Malik Monk	17:23	2	10	0.2	0	4	0.0	0	0	0.0	0	4	4	2	1	1	3	1	4	+10.0
Daeqwon Plowden	24:26	0	3	0.0	0	3	0.0	0	0	0.0	1	3	4	0	0	1	0	1	0	+5.0
Devin Carter	15:53	1	4	0.2	0	0	0.0	2	2	1.0	1	2	3	2	2	0	1	1	4	+2.0
Drew Eubanks	3:59	1	1	1.0	0	0	0.0	0	0	0.0	1	0	1	0	0	0	0	0	2	-5.0
Isaiah Stevens	18:59	0	2	0.0	0	0	0.0	2	2	1.0	1	1	2	5	2	0	0	1	2	-3.0
Doug McDermott	5:38	1	1	1.0	1	1	1.0	0	0	0.0	0	0	0	0	0	0	0	0	3	+10.0

## Washington Wizards — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kyshawn George	18:59	3	6	0.5	0	1	0.0	0	0	0.0	0	1	1	2	0	1	2	1	6	-2.0
Khris Middleton	17:50	5	8	0.6	2	3	0.7	1	2	0.5	0	1	1	3	0	0	2	0	13	-4.0
Marvin Bagley III	18:43	7	8	0.9	1	1	1.0	0	0	0.0	2	4	6	2	1	1	0	2	15	-10.0
Bilal Coulibaly	21:26	5	9	0.6	0	1	0.0	5	5	1.0	0	1	1	3	2	0	1	3	15	-2.0
Bub Carrington	22:46	2	7	0.3	2	6	0.3	0	0	0.0	0	2	2	6	0	0	1	2	6	-1.0
Anthony Gill	27:13	0	3	0.0	0	0	0.0	0	0	0.0	1	3	4	0	2	1	1	4	0	+11.0
Will Riley	30:10	6	15	0.4	4	8	0.5	2	2	1.0	3	3	6	6	1	0	1	3	18	+8.0
AJ Johnson	27:18	7	13	0.5	2	5	0.4	1	2	0.5	1	0	1	4	1	0	7	2	17	+8.0
Jamir Watkins	16:02	3	7	0.4	1	3	0.3	1	2	0.5	2	4	6	0	1	0	0	2	8	+2.0
Skal Labissiere	26:34	6	8	0.8	1	3	0.3	0	0	0.0	2	5	7	2	2	1	1	2	13	+6.0
Sharife Cooper	12:59	2	4	0.5	0	0	0.0	1	2	0.5	2	5	7	3	0	0	1	1	5	+4.0
