## Utah Jazz — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Cody Williams	20:22	4	5	0.8	1	1	1.0	1	2	0.5	1	1	2	0	1	0	0	3	10	-1.0
Lauri Markkanen	38:35	9	23	0.4	2	9	0.2	7	7	1.0	4	7	11	2	2	1	0	0	27	-5.0
Jusuf Nurkić	32:43	3	11	0.3	1	3	0.3	4	7	0.6	4	9	13	1	1	3	5	2	11	-7.0
Ace Bailey	26:31	1	10	0.1	0	2	0.0	2	2	1.0	1	10	11	2	1	1	3	5	4	-17.0
Isaiah Collier	30:12	5	8	0.6	1	3	0.3	8	10	0.8	1	3	4	7	2	1	3	1	19	-6.0
Svi Mykhailiuk	30:01	2	7	0.3	2	6	0.3	2	2	1.0	0	1	1	3	1	0	2	2	8	+5.0
Walter Clayton Jr.	17:48	3	9	0.3	1	5	0.2	0	0	0.0	1	1	2	2	0	0	3	2	7	-1.0
Brice Sensabaugh	19:06	1	6	0.2	0	3	0.0	2	2	1.0	0	2	2	0	2	0	4	3	4	-1.0
Kevin Love	15:17	2	7	0.3	0	3	0.0	0	0	0.0	3	2	5	2	0	0	1	1	4	0.0
Kyle Filipowski	9:25	2	4	0.5	0	1	0.0	2	2	1.0	3	2	5	1	0	0	1	2	6	-2.0

## Toronto Raptors — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Brandon Ingram	35:20	7	19	0.4	1	5	0.2	4	4	1.0	0	5	5	3	1	1	2	1	19	-1.0
Scottie Barnes	34:13	5	12	0.4	1	3	0.3	3	6	0.5	2	7	9	4	2	4	4	3	14	+5.0
Collin Murray-Boyles	24:26	2	7	0.3	0	1	0.0	0	0	0.0	4	1	5	1	1	2	0	4	4	+3.0
RJ Barrett	27:58	6	12	0.5	2	6	0.3	7	9	0.8	2	4	6	4	0	1	3	2	21	+13.0
Immanuel Quickley	33:20	6	12	0.5	3	6	0.5	2	2	1.0	2	3	5	4	4	0	2	3	17	+8.0
Sandro Mamukelashvili	30:20	6	9	0.7	4	7	0.6	4	4	1.0	1	5	6	0	1	0	4	4	20	+6.0
Ja'Kobe Walter	17:48	1	3	0.3	0	2	0.0	5	5	1.0	1	0	1	1	1	0	0	3	7	-3.0
Jamal Shead	19:34	2	4	0.5	1	2	0.5	0	0	0.0	0	1	1	4	0	0	0	2	5	0.0
Gradey Dick	10:49	0	2	0.0	0	1	0.0	0	0	0.0	0	2	2	1	1	0	0	1	0	+5.0
Jamison Battle	3:43	0	2	0.0	0	1	0.0	0	0	0.0	1	0	1	0	0	0	1	0	0	-2.0
Ochai Agbaji	2:28	0	2	0.0	0	1	0.0	0	0	0.0	0	1	1	0	0	0	0	0	0	+1.0
