## Houston Rockets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Tari Eason	33:29	3	7	0.4	1	2	0.5	2	2	1.0	1	9	10	0	0	1	0	2	9	-2.0
Jabari Smith Jr.	35:18	6	12	0.5	3	6	0.5	4	4	1.0	2	2	4	1	1	1	2	2	19	+3.0
Alperen Sengun	35:20	13	25	0.5	0	2	0.0	13	18	0.7	7	9	16	5	0	0	5	2	39	+4.0
Reed Sheppard	25:13	4	13	0.3	1	7	0.1	2	2	1.0	0	2	2	5	2	1	2	2	11	+2.0
Amen Thompson	39:08	6	15	0.4	0	0	0.0	4	5	0.8	4	7	11	7	2	2	5	4	16	+13.0
Dorian Finney-Smith	16:49	1	2	0.5	0	1	0.0	2	2	1.0	0	3	3	0	1	0	0	2	4	-8.0
Josh Okogie	12:25	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-13.0
Clint Capela	10:51	1	5	0.2	0	0	0.0	2	2	1.0	4	3	7	3	0	1	1	0	4	-4.0
Aaron Holiday	17:18	2	4	0.5	2	4	0.5	2	2	1.0	0	0	0	0	1	0	0	2	8	+8.0
Jae'Sean Tate	14:04	4	4	1.0	0	0	0.0	0	0	0.0	1	2	3	0	0	0	0	1	8	+17.0

## Indiana Pacers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Johnny Furphy	13:51	1	1	1.0	0	0	0.0	0	1	0.0	0	4	4	1	0	0	0	3	2	-4.0
Pascal Siakam	33:22	12	21	0.6	2	3	0.7	1	1	1.0	2	2	4	5	1	0	3	3	27	-8.0
Jay Huff	11:42	2	7	0.3	2	6	0.3	0	0	0.0	0	3	3	1	0	2	0	5	6	-10.0
Aaron Nesmith	32:32	6	13	0.5	3	7	0.4	2	3	0.7	2	4	6	2	0	1	1	1	17	-6.0
Andrew Nembhard	32:09	2	5	0.4	1	2	0.5	2	3	0.7	0	1	1	8	1	1	3	1	7	-9.0
Isaiah Jackson	24:51	2	5	0.4	0	0	0.0	2	3	0.7	2	4	6	4	4	2	2	5	6	+4.0
Bennedict Mathurin	34:21	8	15	0.5	0	2	0.0	9	10	0.9	1	3	4	5	0	0	0	2	25	-7.0
Jarace Walker	22:35	5	9	0.6	2	4	0.5	0	0	0.0	0	4	4	1	1	0	0	2	12	+7.0
T.J. McConnell	15:51	2	7	0.3	1	1	1.0	0	0	0.0	0	0	0	2	1	0	0	2	5	+5.0
Ben Sheppard	7:19	1	1	1.0	0	0	0.0	0	0	0.0	0	0	0	2	0	0	0	0	2	+6.0
Micah Potter	11:26	2	3	0.7	1	1	1.0	0	0	0.0	0	1	1	2	2	0	1	3	5	+2.0
