## Philadelphia 76ers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kelly Oubre Jr.	34:42	6	13	0.5	3	6	0.5	0	0	0.0	1	2	3	2	1	0	1	3	15	+11.0
Dominick Barlow	35:26	10	16	0.6	1	1	1.0	5	5	1.0	10	6	16	2	2	1	0	3	26	+7.0
Joel Embiid	32:14	8	19	0.4	1	2	0.5	7	7	1.0	0	5	5	3	1	0	1	4	24	+2.0
VJ Edgecombe	30:31	1	11	0.1	1	8	0.1	2	2	1.0	0	3	3	7	1	0	0	1	5	+5.0
Tyrese Maxey	35:52	9	18	0.5	7	14	0.5	4	4	1.0	0	5	5	6	3	0	1	4	29	+22.0
Quentin Grimes	27:50	5	8	0.6	2	5	0.4	2	2	1.0	0	2	2	4	0	0	0	2	14	+4.0
Jared McCain	14:16	2	2	1.0	2	2	1.0	0	0	0.0	0	2	2	4	0	0	2	1	6	+6.0
Adem Bona	15:46	3	4	0.8	0	0	0.0	0	0	0.0	3	0	3	1	0	2	0	3	6	+13.0
Trendon Watford	11:03	1	2	0.5	0	1	0.0	1	2	0.5	0	1	1	1	0	0	0	1	3	+3.0
Jabari Walker	2:19	0	1	0.0	0	0	0.0	0	0	0.0	0	1	1	1	0	0	0	0	0	+2.0

## Los Angeles Clippers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kawhi Leonard	30:52	12	21	0.6	2	5	0.4	3	5	0.6	2	2	4	6	3	0	2	0	29	-9.0
John Collins	31:57	6	11	0.5	2	5	0.4	1	4	0.2	1	6	7	2	0	0	2	4	15	-6.0
Ivica Zubac	33:00	3	3	1.0	0	0	0.0	2	3	0.7	0	9	9	2	0	1	1	3	8	-11.0
Kobe Sanders	34:10	7	10	0.7	2	3	0.7	1	2	0.5	1	2	3	3	0	0	1	0	17	-15.0
Kris Dunn	27:10	2	6	0.3	0	2	0.0	2	2	1.0	0	2	2	6	0	0	2	3	6	-10.0
Brook Lopez	20:15	5	11	0.5	3	6	0.5	0	0	0.0	0	1	1	1	0	1	1	5	13	-18.0
Jordan Miller	27:43	9	10	0.9	0	1	0.0	3	4	0.8	0	4	4	2	1	0	3	0	21	+2.0
Nicolas Batum	14:29	0	2	0.0	0	2	0.0	0	0	0.0	0	2	2	2	0	0	1	0	0	-3.0
Cam Christie	10:13	1	2	0.5	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	1	2	-8.0
Yanic Konan Niederhäuser	5:46	1	1	1.0	0	0	0.0	0	0	0.0	1	2	3	0	0	0	1	3	2	+2.0
Kobe Brown	4:24	0	1	0.0	0	1	0.0	0	0	0.0	0	1	1	0	0	0	0	0	0	+1.0
