## Atlanta Hawks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Zaccharie Risacher	22:55	3	7	0.4	1	4	0.2	0	2	0.0	0	7	7	2	1	0	1	1	7	-8.0
Jalen Johnson	36:17	12	20	0.6	3	7	0.4	2	4	0.5	0	11	11	11	0	0	2	4	29	+8.0
Christian Koloko	11:05	0	3	0.0	0	1	0.0	2	2	1.0	1	1	2	0	0	0	1	3	2	-1.0
Dyson Daniels	21:34	1	4	0.2	0	0	0.0	0	0	0.0	0	1	1	5	1	0	1	2	2	0.0
Nickeil Alexander-Walker	31:23	8	21	0.4	3	12	0.2	0	0	0.0	1	4	5	7	1	0	0	2	19	+1.0
CJ McCollum	26:24	10	18	0.6	6	9	0.7	0	0	0.0	1	3	4	2	0	0	2	0	26	+13.0
Mouhamed Gueye	21:39	2	4	0.5	1	2	0.5	1	2	0.5	3	3	6	2	3	1	1	3	6	+5.0
Corey Kispert	27:36	5	13	0.4	2	7	0.3	1	1	1.0	1	3	4	4	0	0	0	0	13	+18.0
Asa Newell	16:39	3	4	0.8	0	1	0.0	2	2	1.0	0	2	2	0	1	0	1	3	8	+5.0
Luke Kennard	23:05	4	6	0.7	4	6	0.7	0	0	0.0	1	4	5	1	0	1	0	3	12	+22.0
Keaton Wallace	1:23	1	1	1.0	1	1	1.0	0	0	0.0	0	0	0	0	0	0	0	1	3	-3.0

## Miami Heat — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Myron Gardner	21:58	5	8	0.6	2	3	0.7	2	2	1.0	0	6	6	0	2	0	0	1	14	+8.0
Simone Fontecchio	33:39	7	15	0.5	2	8	0.2	2	2	1.0	2	4	6	2	0	1	0	2	18	+7.0
Bam Adebayo	30:13	4	16	0.2	0	3	0.0	8	8	1.0	2	12	14	1	1	0	3	3	16	0.0
Pelle Larsson	35:45	7	12	0.6	0	3	0.0	4	4	1.0	1	3	4	5	0	0	3	1	18	-12.0
Davion Mitchell	28:04	2	5	0.4	0	1	0.0	0	0	0.0	1	0	1	10	0	0	1	3	4	-1.0
Jaime Jaquez Jr.	27:32	9	17	0.5	1	3	0.3	2	3	0.7	2	6	8	3	0	0	2	2	21	-24.0
Kel'el Ware	17:47	4	10	0.4	1	3	0.3	0	2	0.0	2	6	8	0	0	0	0	0	9	-12.0
Dru Smith	18:33	1	5	0.2	0	2	0.0	0	0	0.0	0	1	1	2	1	0	1	2	2	-14.0
Kasparas Jakučionis	16:07	1	4	0.2	1	3	0.3	2	2	1.0	2	1	3	2	2	0	1	1	5	-16.0
Nikola Jović	7:36	1	3	0.3	1	3	0.3	2	2	1.0	0	2	2	0	0	0	0	0	5	-2.0
Keshad Johnson	1:23	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	+3.0
Jahmir Young	1:23	1	1	1.0	0	0	0.0	1	1	1.0	0	0	0	0	0	0	0	0	3	+3.0
