## Boston Celtics — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jaylen Brown	37:23	15	29	0.5	2	5	0.4	1	2	0.5	1	10	11	3	1	0	3	4	33	-1.0
Sam Hauser	26:06	4	8	0.5	3	7	0.4	0	0	0.0	0	5	5	0	1	1	0	5	11	+6.0
Neemias Queta	27:59	4	6	0.7	0	0	0.0	0	0	0.0	0	8	8	3	1	1	1	4	8	+10.0
Baylor Scheierman	28:18	1	5	0.2	1	3	0.3	0	0	0.0	1	6	7	3	1	1	0	2	3	+16.0
Derrick White	38:28	4	13	0.3	1	8	0.1	2	2	1.0	2	0	2	8	0	0	3	0	11	+14.0
Payton Pritchard	34:31	12	20	0.6	2	8	0.2	0	0	0.0	0	4	4	7	0	0	2	1	26	0.0
Jordan Walsh	10:30	0	1	0.0	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	1	0	-4.0
Hugo González	16:42	1	6	0.2	0	3	0.0	0	1	0.0	2	4	6	2	1	0	0	1	2	+9.0
Luka Garza	20:00	6	8	0.8	4	4	1.0	0	0	0.0	4	0	4	1	2	1	0	2	16	0.0

## Dallas Mavericks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Cooper Flagg	36:43	12	24	0.5	2	4	0.5	10	11	0.9	1	8	9	6	0	2	1	1	36	-2.0
Caleb Martin	29:06	5	10	0.5	1	2	0.5	2	4	0.5	0	5	5	3	0	0	0	2	13	-5.0
Daniel Gafford	24:43	4	5	0.8	0	0	0.0	2	4	0.5	4	8	12	1	1	2	2	1	10	-11.0
Max Christie	30:25	4	13	0.3	2	9	0.2	0	0	0.0	0	2	2	3	1	0	0	0	10	-1.0
Naji Marshall	31:23	4	15	0.3	1	5	0.2	0	0	0.0	2	6	8	3	0	0	1	1	9	-13.0
Moussa Cisse	14:57	2	4	0.5	0	0	0.0	0	0	0.0	4	1	5	0	0	0	1	2	4	+3.0
Klay Thompson	20:09	1	5	0.2	1	4	0.2	1	1	1.0	0	1	1	1	0	0	0	1	4	-15.0
Jaden Hardy	17:33	2	4	0.5	1	3	0.3	2	2	1.0	0	2	2	0	1	0	1	0	7	+4.0
Ryan Nembhard	11:47	1	4	0.2	1	2	0.5	0	0	0.0	0	0	0	3	0	0	1	0	3	-10.0
Miles Kelly	12:06	0	2	0.0	0	2	0.0	0	0	0.0	0	3	3	1	0	0	1	2	0	-3.0
Dwight Powell	11:07	2	3	0.7	0	1	0.0	0	0	0.0	2	0	2	0	1	0	1	1	4	+3.0
