## Chicago Bulls — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Isaac Okoro	40:25	3	9	0.3	1	5	0.2	2	2	1.0	1	1	2	2	2	2	2	0	9	-4.0
Matas Buzelis	35:54	8	16	0.5	5	10	0.5	1	3	0.3	0	2	2	1	0	5	1	3	22	-7.0
Jalen Smith	20:06	5	7	0.7	3	5	0.6	3	3	1.0	2	3	5	1	0	0	2	1	16	+8.0
Ayo Dosunmu	27:57	6	12	0.5	3	6	0.5	2	2	1.0	0	4	4	8	2	0	1	0	17	-2.0
Coby White	30:20	7	17	0.4	2	8	0.2	5	7	0.7	0	10	10	3	0	0	3	3	21	-17.0
Dalen Terry	15:34	2	5	0.4	1	3	0.3	1	2	0.5	1	2	3	1	2	2	0	1	6	-8.0
Patrick Williams	27:00	7	17	0.4	3	8	0.4	0	0	0.0	3	2	5	3	0	2	1	2	17	-22.0
Yuki Kawamura	26:15	1	5	0.2	1	5	0.2	2	2	1.0	1	4	5	7	2	0	0	2	5	-18.0
Lachlan Olbrich	16:29	1	2	0.5	0	0	0.0	0	2	0.0	2	5	7	0	1	0	0	2	2	-10.0

## Milwaukee Bucks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Amir Coffey	21:57	1	3	0.3	0	0	0.0	0	0	0.0	0	1	1	2	1	0	0	2	2	-17.0
Kyle Kuzma	31:06	12	22	0.5	3	5	0.6	4	7	0.6	3	7	10	6	1	0	1	1	31	+18.0
Myles Turner	22:57	5	10	0.5	2	3	0.7	3	4	0.8	1	3	4	1	2	1	4	3	15	-7.0
AJ Green	30:29	6	11	0.5	5	9	0.6	0	0	0.0	1	3	4	2	1	1	0	4	17	+3.0
Ryan Rollins	34:51	8	21	0.4	5	8	0.6	0	0	0.0	0	7	7	10	0	0	4	0	21	+9.0
Pete Nance	27:14	6	8	0.8	3	5	0.6	0	0	0.0	1	7	8	2	0	0	0	2	15	+17.0
Jericho Sims	21:29	4	6	0.7	0	0	0.0	1	2	0.5	2	7	9	2	0	1	1	3	9	+29.0
Gary Trent Jr.	23:14	5	9	0.6	5	8	0.6	0	0	0.0	1	0	1	0	0	0	1	3	15	+17.0
Cole Anthony	12:13	2	4	0.5	0	0	0.0	0	0	0.0	1	2	3	5	0	1	2	1	4	+12.0
Andre Jackson Jr.	12:07	1	2	0.5	0	0	0.0	0	0	0.0	1	1	2	3	1	0	0	1	2	+3.0
Thanasis Antetokounmpo	2:21	0	1	0.0	0	0	0.0	0	2	0.0	2	0	2	0	0	0	0	0	0	-4.0
