## Denver Nuggets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Peyton Watson	37:47	4	11	0.4	0	1	0.0	9	11	0.8	1	2	3	2	2	3	3	3	17	+9.0
Christian Braun	25:33	2	6	0.3	0	1	0.0	2	2	1.0	0	0	0	2	0	0	0	3	6	-9.0
Nikola Jokić	32:55	9	19	0.5	3	5	0.6	3	3	1.0	4	11	15	4	2	1	5	3	24	-9.0
Jalen Pickett	10:21	0	5	0.0	0	4	0.0	0	0	0.0	0	1	1	1	0	1	0	1	0	-4.0
Jamal Murray	36:56	8	17	0.5	4	8	0.5	12	13	0.9	0	1	1	8	0	2	0	0	32	+5.0
Tim Hardaway Jr.	27:29	1	7	0.1	1	4	0.2	3	4	0.8	0	2	2	0	0	0	0	2	6	-9.0
Bruce Brown	23:21	3	5	0.6	1	3	0.3	3	3	1.0	1	1	2	0	2	0	0	3	10	-9.0
Jonas Valančiūnas	21:36	4	4	1.0	0	0	0.0	3	5	0.6	4	7	11	1	1	3	1	4	11	+16.0
Julian Strawther	23:26	6	9	0.7	1	4	0.2	2	2	1.0	2	6	8	2	0	0	1	0	15	-1.0
Zeke Nnaji	0:34	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	1	0	-4.0

## Detroit Pistons — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Ausar Thompson	23:53	5	9	0.6	0	0	0.0	0	0	0.0	2	4	6	3	2	1	0	1	10	+9.0
Tobias Harris	33:31	4	13	0.3	2	4	0.5	1	1	1.0	1	5	6	3	0	0	2	3	11	+3.0
Jalen Duren	30:55	6	10	0.6	0	0	0.0	7	8	0.9	4	9	13	1	1	0	1	1	19	0.0
Duncan Robinson	25:24	7	12	0.6	6	9	0.7	0	0	0.0	1	2	3	2	0	0	1	4	20	-1.0
Cade Cunningham	38:07	9	19	0.5	2	6	0.3	9	11	0.8	0	2	2	10	1	0	5	5	29	+11.0
Caris LeVert	20:07	2	6	0.3	0	3	0.0	0	0	0.0	1	1	2	3	1	1	0	3	4	-8.0
Isaiah Stewart	23:13	3	7	0.4	0	1	0.0	5	6	0.8	2	4	6	3	1	1	0	3	11	-2.0
Ronald Holland II	15:11	3	6	0.5	1	3	0.3	0	0	0.0	0	4	4	0	1	1	0	2	7	+4.0
Daniss Jenkins	15:55	2	8	0.2	0	1	0.0	2	2	1.0	1	0	1	0	1	0	0	5	6	-1.0
Javonte Green	13:41	2	4	0.5	1	2	0.5	2	2	1.0	0	0	0	2	1	0	0	0	7	0.0
