## Los Angeles Lakers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
LeBron James	29:52	10	16	0.6	0	3	0.0	5	7	0.7	1	2	3	7	3	0	1	1	25	+24.0
Jake LaRavia	21:55	7	9	0.8	1	2	0.5	3	6	0.5	1	4	5	0	1	0	1	1	18	+10.0
Deandre Ayton	27:38	3	5	0.6	0	0	0.0	1	2	0.5	2	6	8	3	1	0	1	3	7	+16.0
Marcus Smart	17:55	3	5	0.6	0	2	0.0	0	0	0.0	2	1	3	1	1	0	1	2	6	+30.0
Luka Dončić	28:49	8	18	0.4	4	11	0.4	4	6	0.7	1	5	6	5	1	0	5	1	24	+19.0
Gabe Vincent	15:50	0	3	0.0	0	2	0.0	0	0	0.0	0	1	1	1	2	0	0	0	0	-9.0
Jaxson Hayes	14:38	3	3	1.0	0	0	0.0	3	4	0.8	1	0	1	2	1	0	0	1	9	+8.0
Rui Hachimura	25:35	2	3	0.7	1	2	0.5	0	0	0.0	0	3	3	0	1	0	1	0	5	-1.0
Jarred Vanderbilt	19:07	2	3	0.7	0	1	0.0	2	4	0.5	1	4	5	3	0	0	0	0	6	+4.0
Austin Reaves	20:38	3	9	0.3	1	5	0.2	8	10	0.8	0	4	4	1	2	0	2	3	15	+10.0
Drew Timme	5:44	1	3	0.3	0	1	0.0	0	0	0.0	1	1	2	0	0	0	0	0	2	-8.0
Dalton Knecht	4:36	2	5	0.4	0	2	0.0	0	0	0.0	0	0	0	1	0	0	0	1	4	-9.0
Bronny James	4:36	2	3	0.7	0	0	0.0	0	0	0.0	0	0	0	1	1	0	0	0	4	-9.0
Maxi Kleber	3:07	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-5.0

## Brooklyn Nets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Michael Porter Jr.	32:13	7	18	0.4	0	9	0.0	7	9	0.8	1	9	10	3	1	0	3	3	21	-18.0
Noah Clowney	20:58	3	7	0.4	0	4	0.0	0	0	0.0	0	4	4	2	0	0	2	1	6	-17.0
Nic Claxton	22:17	5	7	0.7	0	0	0.0	0	2	0.0	3	2	5	2	0	0	0	3	10	-30.0
Nolan Traore	24:45	3	9	0.3	1	3	0.3	0	0	0.0	2	3	5	4	0	0	2	1	7	-4.0
Egor Dëmin	26:56	4	11	0.4	3	8	0.4	0	0	0.0	0	2	2	2	1	0	6	0	11	-11.0
Ziaire Williams	24:27	7	11	0.6	3	6	0.5	0	0	0.0	0	2	2	3	1	0	1	5	17	+2.0
Ben Saraf	16:53	1	4	0.2	1	2	0.5	0	0	0.0	0	1	1	2	0	0	1	1	3	-2.0
Cam Thomas	23:27	3	7	0.4	1	4	0.2	1	2	0.5	0	0	0	2	0	0	2	0	8	-11.0
Day'Ron Sharpe	25:43	9	12	0.8	0	0	0.0	1	1	1.0	10	4	14	5	3	0	1	4	19	+14.0
Danny Wolf	18:38	3	8	0.4	1	5	0.2	0	0	0.0	0	4	4	3	1	0	1	2	7	+3.0
Drake Powell	3:42	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	0	1	1	0	-6.0
