## New York Knicks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Josh Hart	21:47	1	3	0.3	1	3	0.3	1	2	0.5	0	7	7	7	0	0	0	0	4	+34.0
OG Anunoby	27:05	6	11	0.5	3	6	0.5	4	5	0.8	0	4	4	2	1	1	1	2	19	+13.0
Karl-Anthony Towns	26:22	7	16	0.4	1	4	0.2	4	6	0.7	2	13	15	3	2	0	1	1	19	+30.0
Mikal Bridges	25:38	8	10	0.8	3	4	0.8	4	5	0.8	3	1	4	5	0	2	1	3	23	+23.0
Jalen Brunson	31:13	7	16	0.4	1	6	0.2	6	7	0.9	0	1	1	4	2	0	0	2	21	+32.0
Landry Shamet	20:59	5	8	0.6	4	6	0.7	0	0	0.0	0	0	0	1	0	0	0	0	14	+23.0
Mohamed Diawara	4:13	2	2	1.0	1	1	1.0	0	0	0.0	1	0	1	1	0	0	0	0	5	+4.0
Ariel Hukporti	21:37	5	6	0.8	1	2	0.5	1	1	1.0	1	8	9	1	0	2	2	5	12	+1.0
Jordan Clarkson	21:15	5	8	0.6	1	2	0.5	1	1	1.0	0	0	0	2	0	0	1	4	12	-3.0
Tyler Kolek	20:51	1	7	0.1	1	2	0.5	0	0	0.0	0	4	4	6	0	0	2	2	3	+10.0
Dillon Jones	9:29	0	1	0.0	0	1	0.0	0	0	0.0	1	2	3	1	1	0	0	2	0	-6.0
Trey Jemison III	9:29	0	2	0.0	0	0	0.0	0	0	0.0	1	1	2	1	0	0	1	1	0	-6.0

## Washington Wizards — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kyshawn George	26:00	3	8	0.4	0	1	0.0	2	2	1.0	0	2	2	3	1	1	0	5	8	-33.0
Khris Middleton	22:22	5	11	0.5	2	4	0.5	0	0	0.0	0	2	2	2	0	0	2	2	12	-31.0
Alex Sarr	24:31	4	11	0.4	1	3	0.3	2	4	0.5	3	6	9	3	1	0	2	3	11	-31.0
Bilal Coulibaly	24:25	1	4	0.2	1	3	0.3	0	2	0.0	0	2	2	2	1	0	1	1	3	-30.0
Bub Carrington	24:31	4	10	0.4	3	7	0.4	3	6	0.5	0	2	2	1	0	0	2	1	14	-30.0
Justin Champagnie	20:19	1	7	0.1	0	3	0.0	0	2	0.0	2	2	4	0	0	1	1	2	2	-4.0
AJ Johnson	23:35	4	8	0.5	1	1	1.0	5	6	0.8	0	4	4	4	1	0	0	4	14	-1.0
Will Riley	25:18	5	11	0.5	2	5	0.4	5	6	0.8	1	5	6	1	0	0	2	1	17	-1.0
Sharife Cooper	18:30	4	8	0.5	1	3	0.3	0	0	0.0	1	3	4	1	0	1	2	2	9	+4.0
Marvin Bagley III	15:47	4	7	0.6	0	0	0.0	3	4	0.8	2	4	6	1	0	0	1	1	11	-4.0
Anthony Gill	7:14	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	2	0	0	0	0	+2.0
Skal Labissiere	7:25	0	1	0.0	0	1	0.0	0	0	0.0	1	0	1	1	0	0	0	0	0	+4.0
