## Orlando Magic — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Desmond Bane	21:30	3	7	0.4	1	3	0.3	0	0	0.0	0	2	2	2	1	2	2	6	7	-11.0
Paolo Banchero	32:57	6	17	0.4	1	4	0.2	4	4	1.0	1	2	3	4	0	0	2	2	17	-29.0
Wendell Carter Jr.	23:27	3	7	0.4	1	3	0.3	2	2	1.0	2	5	7	2	1	0	1	1	9	-13.0
Anthony Black	28:21	5	16	0.3	0	6	0.0	0	0	0.0	2	4	6	3	1	2	2	2	10	-21.0
Jalen Suggs	24:39	7	11	0.6	4	8	0.5	2	2	1.0	0	3	3	6	1	0	3	3	20	-4.0
Tristan da Silva	25:38	1	7	0.1	1	4	0.2	0	0	0.0	0	2	2	2	0	0	1	2	3	-21.0
Noah Penda	24:21	4	11	0.4	2	7	0.3	1	1	1.0	1	4	5	2	0	0	2	3	11	-23.0
Jonathan Isaac	14:05	0	2	0.0	0	0	0.0	0	0	0.0	1	1	2	0	0	1	0	1	0	-6.0
Moritz Wagner	13:11	2	3	0.7	2	2	1.0	2	2	1.0	2	3	5	0	1	0	1	3	8	-24.0
Tyus Jones	5:22	0	1	0.0	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-10.0
Jase Richardson	12:52	0	3	0.0	0	2	0.0	0	0	0.0	0	1	1	0	0	0	0	1	0	-13.0
Jett Howard	13:36	3	4	0.8	1	1	1.0	0	0	0.0	1	1	2	0	0	0	1	0	7	-5.0

## Oklahoma City Thunder — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Luguentz Dort	30:48	6	8	0.8	4	5	0.8	2	2	1.0	0	5	5	1	2	0	0	2	18	+25.0
Chet Holmgren	27:06	7	12	0.6	0	4	0.0	2	4	0.5	3	7	10	1	0	0	0	1	16	+21.0
Isaiah Hartenstein	22:53	4	6	0.7	0	1	0.0	4	5	0.8	2	8	10	10	0	1	2	2	12	+24.0
Cason Wallace	22:53	2	7	0.3	0	3	0.0	1	1	1.0	0	1	1	5	4	0	0	2	5	+24.0
Shai Gilgeous-Alexander	27:48	8	22	0.4	1	3	0.3	3	4	0.8	3	2	5	9	2	0	3	2	20	+23.0
Jaylin Williams	17:06	2	5	0.4	0	2	0.0	1	3	0.3	2	7	9	2	0	0	1	1	5	+8.0
Alex Caruso	18:51	2	4	0.5	0	2	0.0	2	2	1.0	0	0	0	3	1	0	1	0	6	+13.0
Kenrich Williams	17:55	4	5	0.8	1	1	1.0	2	2	1.0	3	4	7	1	1	0	0	1	11	+11.0
Aaron Wiggins	18:42	3	4	0.8	1	2	0.5	2	2	1.0	0	3	3	0	0	0	1	2	9	+17.0
Isaiah Joe	23:25	8	12	0.7	5	8	0.6	1	1	1.0	0	0	0	0	1	0	0	2	22	+16.0
Chris Youngblood	6:16	1	4	0.2	0	2	0.0	0	0	0.0	1	0	1	0	1	0	1	0	2	-1.0
Ousmane Dieng	6:16	1	4	0.2	0	2	0.0	0	0	0.0	0	1	1	1	0	0	1	0	2	-1.0
