## Philadelphia 76ers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kelly Oubre Jr.	35:10	4	12	0.3	4	10	0.4	3	4	0.8	2	4	6	3	1	0	2	0	15	+7.0
Dominick Barlow	22:01	3	10	0.3	2	4	0.5	2	2	1.0	6	0	6	1	1	0	0	0	10	+12.0
Andre Drummond	29:00	5	11	0.5	1	2	0.5	1	2	0.5	6	6	12	1	1	1	4	1	12	+7.0
VJ Edgecombe	39:33	11	20	0.6	2	7	0.3	1	2	0.5	3	4	7	7	2	0	2	1	25	+27.0
Tyrese Maxey	33:42	3	9	0.3	1	5	0.2	7	7	1.0	0	4	4	3	2	0	1	1	14	+14.0
Quentin Grimes	23:13	4	9	0.4	2	6	0.3	0	0	0.0	2	3	5	3	1	0	1	0	10	+7.0
Trendon Watford	26:49	7	13	0.5	1	2	0.5	1	2	0.5	2	6	8	3	0	2	2	2	16	+10.0
Jared McCain	8:19	0	2	0.0	0	2	0.0	0	0	0.0	0	0	0	2	0	0	0	0	0	+10.0
Adem Bona	15:57	5	6	0.8	0	0	0.0	1	2	0.5	4	3	7	0	1	0	0	0	11	+10.0
Justin Edwards	2:05	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-3.0
Johni Broome	2:05	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-3.0
Jabari Walker	2:05	0	1	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	0	0	1	0	-3.0

## Golden State Warriors — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Gui Santos	26:28	5	7	0.7	3	5	0.6	0	0	0.0	0	2	2	3	2	2	1	1	13	-13.0
Draymond Green	25:27	2	7	0.3	2	7	0.3	0	0	0.0	0	7	7	3	0	0	1	0	6	-27.0
Al Horford	20:05	4	7	0.6	2	4	0.5	0	0	0.0	0	0	0	2	0	1	0	5	10	-27.0
Moses Moody	20:14	4	8	0.5	4	8	0.5	0	0	0.0	0	2	2	0	1	0	1	3	12	-26.0
Brandin Podziemski	25:16	3	8	0.4	2	5	0.4	0	0	0.0	1	1	2	2	0	1	4	1	8	-22.0
Will Richard	13:06	1	3	0.3	1	3	0.3	0	0	0.0	1	1	2	1	0	0	2	0	3	-7.0
Pat Spencer	26:06	5	8	0.6	3	4	0.8	0	0	0.0	3	1	4	3	1	0	5	1	13	+4.0
De'Anthony Melton	23:47	5	13	0.4	0	5	0.0	0	0	0.0	2	4	6	6	1	0	2	3	10	+9.0
Quinten Post	16:34	4	6	0.7	2	3	0.7	0	0	0.0	1	3	4	3	0	1	1	0	10	+10.0
Buddy Hield	27:32	4	11	0.4	0	4	0.0	1	2	0.5	0	3	3	3	3	0	2	2	9	+6.0
Gary Payton II	8:49	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	1	0	0	0	0	0	+2.0
Trayce Jackson-Davis	3:16	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-2.0
Malevy Leons	3:16	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	1	1	0	0	-2.0
