## Phoenix Suns — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Dillon Brooks	31:18	3	16	0.2	1	4	0.2	4	4	1.0	2	2	4	1	1	0	2	3	11	-4.0
Royce O'Neale	36:11	5	12	0.4	1	5	0.2	0	2	0.0	2	5	7	0	2	0	2	1	11	+2.0
Mark Williams	26:06	11	14	0.8	0	0	0.0	2	3	0.7	6	5	11	1	0	1	1	2	24	-7.0
Grayson Allen	35:58	9	17	0.5	6	11	0.5	0	0	0.0	0	1	1	4	1	0	3	3	24	+1.0
Collin Gillespie	33:13	10	17	0.6	8	14	0.6	2	2	1.0	0	4	4	10	3	0	1	2	30	+5.0
Jordan Goodwin	22:48	6	9	0.7	2	4	0.5	2	4	0.5	5	5	10	3	5	0	0	2	16	+9.0
Oso Ighodaro	21:28	4	7	0.6	0	0	0.0	0	0	0.0	2	3	5	6	1	0	2	2	8	+16.0
Jamaree Bouyea	14:56	0	2	0.0	0	1	0.0	0	0	0.0	1	0	1	1	0	1	0	1	0	+4.0
Ryan Dunn	8:38	2	3	0.7	2	2	1.0	0	0	0.0	0	1	1	0	0	0	0	2	6	-2.0
Isaiah Livers	9:21	0	0	0.0	0	0	0.0	0	0	0.0	0	1	1	0	0	0	0	1	0	+1.0

## Portland Trail Blazers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Toumani Camara	38:05	5	12	0.4	3	9	0.3	0	0	0.0	3	8	11	4	2	0	3	2	13	-3.0
Jerami Grant	32:40	8	15	0.5	3	7	0.4	4	6	0.7	0	2	2	4	0	0	3	2	23	+4.0
Donovan Clingan	26:32	4	7	0.6	3	4	0.8	3	4	0.8	6	9	15	3	0	2	0	0	14	+5.0
Shaedon Sharpe	31:23	7	16	0.4	2	8	0.2	3	3	1.0	0	1	1	1	0	0	1	2	19	+7.0
Jrue Holiday	29:25	6	12	0.5	1	5	0.2	2	2	1.0	3	1	4	5	3	0	5	3	15	-5.0
Blake Wesley	19:57	4	8	0.5	2	4	0.5	0	1	0.0	0	1	1	4	0	0	1	1	10	-2.0
Vít Krejčí	13:36	2	7	0.3	1	6	0.2	0	0	0.0	0	0	0	1	2	0	0	1	5	-5.0
Robert Williams III	19:00	6	7	0.9	1	1	1.0	1	2	0.5	2	6	8	3	1	3	3	1	14	-15.0
Sidy Cissoko	21:01	5	9	0.6	2	6	0.3	0	0	0.0	4	1	5	6	0	0	0	4	12	-9.0
Caleb Love	8:20	0	2	0.0	0	2	0.0	0	0	0.0	0	0	0	0	0	0	1	0	0	-2.0
