## Utah Jazz — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Cody Williams	40:10	6	8	0.8	0	0	0.0	2	2	1.0	2	4	6	3	3	0	1	2	14	-3.0
Lauri Markkanen	26:53	10	19	0.5	2	7	0.3	5	6	0.8	0	3	3	2	0	0	1	1	27	+5.0
Kyle Filipowski	35:37	6	12	0.5	1	2	0.5	3	4	0.8	2	14	16	5	3	1	4	5	16	+3.0
Ace Bailey	40:03	7	10	0.7	2	4	0.5	3	6	0.5	2	2	4	1	3	3	1	2	19	+13.0
Isaiah Collier	48:00	6	16	0.4	0	3	0.0	5	8	0.6	0	5	5	22	3	0	2	4	17	+9.0
Brice Sensabaugh	29:30	8	14	0.6	4	7	0.6	0	0	0.0	0	1	1	5	0	0	0	3	20	+6.0
Svi Mykhailiuk	19:47	7	9	0.8	4	6	0.7	0	0	0.0	0	3	3	0	1	0	0	0	18	+12.0

## Indiana Pacers — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Johnny Furphy	28:52	6	11	0.5	2	7	0.3	0	2	0.0	1	6	7	6	0	0	2	3	14	+3.0
Jarace Walker	31:58	8	17	0.5	1	7	0.1	7	9	0.8	0	6	6	4	1	0	8	3	24	-14.0
Jay Huff	24:49	5	9	0.6	2	4	0.5	0	0	0.0	3	3	6	3	0	0	1	3	12	-14.0
Ben Sheppard	28:37	3	7	0.4	1	4	0.2	1	1	1.0	0	1	1	1	0	0	2	1	8	-9.0
Kam Jones	35:52	4	9	0.4	2	4	0.5	2	2	1.0	1	5	6	8	0	0	1	1	12	-17.0
Taelon Peter	29:59	2	7	0.3	2	6	0.3	0	0	0.0	0	1	1	4	1	0	0	1	6	-14.0
Isaiah Jackson	23:11	4	6	0.7	0	0	0.0	3	6	0.5	2	8	10	1	1	1	1	2	11	+5.0
Ethan Thompson	19:23	4	8	0.5	2	4	0.5	1	1	1.0	0	0	0	3	0	1	0	3	11	0.0
Quenton Jackson	17:18	9	10	0.9	2	3	0.7	4	6	0.7	0	1	1	3	3	0	0	1	24	+15.0
