## Boston Celtics — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Baylor Scheierman	23:00	5	10	0.5	3	8	0.4	2	2	1.0	1	9	10	4	1	0	2	3	15	+7.0
Luka Garza	33:47	7	13	0.5	2	7	0.3	3	5	0.6	3	3	6	2	2	0	4	2	19	+16.0
Neemias Queta	38:55	3	4	0.8	0	0	0.0	4	4	1.0	7	12	19	2	2	5	2	2	10	+22.0
Derrick White	37:06	10	25	0.4	6	14	0.4	2	2	1.0	0	1	1	8	0	0	2	3	28	+15.0
Ron Harper Jr.	33:18	4	8	0.5	3	7	0.4	0	0	0.0	4	5	9	3	0	0	0	4	11	+16.0
Payton Pritchard	33:29	9	20	0.5	5	10	0.5	4	5	0.8	1	2	3	7	0	0	1	0	27	+17.0
Jordan Walsh	14:39	0	3	0.0	0	2	0.0	2	2	1.0	1	3	4	0	1	0	1	2	2	+7.0
Josh Minott	7:04	0	1	0.0	0	1	0.0	0	0	0.0	1	1	2	0	0	1	1	1	0	+4.0
Hugo González	15:19	1	4	0.2	0	1	0.0	0	0	0.0	2	1	3	0	0	0	0	1	2	+3.0
Xavier Tillman	1:41	0	1	0.0	0	1	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-1.0
Max Shulga	1:41	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	-1.0

## Houston Rockets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Kevin Durant	32:38	4	11	0.4	0	4	0.0	7	7	1.0	0	5	5	1	2	1	2	1	15	-22.0
Jabari Smith Jr.	33:19	5	12	0.4	3	7	0.4	0	0	0.0	1	3	4	3	0	1	1	2	13	-29.0
Alperen Sengun	31:02	5	12	0.4	0	0	0.0	3	3	1.0	4	5	9	3	2	1	3	1	13	-22.0
Tari Eason	27:38	4	6	0.7	2	2	1.0	0	0	0.0	2	2	4	1	0	0	0	3	10	-9.0
Amen Thompson	28:37	3	8	0.4	1	2	0.5	4	8	0.5	1	3	4	4	1	0	3	4	11	-21.0
Josh Okogie	16:38	1	2	0.5	0	0	0.0	0	2	0.0	1	0	1	0	1	0	0	0	2	-9.0
Reed Sheppard	18:51	3	12	0.2	3	8	0.4	0	0	0.0	0	2	2	0	1	0	0	2	9	-12.0
Jae'Sean Tate	7:13	0	2	0.0	0	1	0.0	0	2	0.0	0	0	0	0	1	0	0	1	0	-10.0
Clint Capela	14:52	2	4	0.5	0	0	0.0	0	0	0.0	2	3	5	0	1	0	0	1	4	+4.0
Aaron Holiday	10:53	4	6	0.7	1	2	0.5	0	0	0.0	1	1	2	2	1	0	0	2	9	+5.0
JD Davison	6:57	1	3	0.3	0	1	0.0	0	0	0.0	0	1	1	2	0	0	0	0	2	+6.0
Isaiah Crawford	5:39	1	2	0.5	0	1	0.0	0	0	0.0	0	1	1	0	0	2	0	0	2	+7.0
Jeff Green	5:39	1	2	0.5	1	2	0.5	0	0	0.0	0	0	0	0	0	0	0	0	3	+7.0
