## Denver Nuggets — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Spencer Jones	12:00	0	3	0.0	0	2	0.0	0	0	0.0	1	2	3	0	1	1	0	1	0	+2.0
Peyton Watson	33:16	4	13	0.3	1	6	0.2	1	2	0.5	2	3	5	2	1	1	1	2	10	-4.0
Nikola Jokić	44:36	10	27	0.4	1	13	0.1	9	12	0.8	7	7	14	10	0	0	0	4	30	+3.0
Christian Braun	43:28	2	6	0.3	0	2	0.0	2	2	1.0	4	3	7	6	0	0	1	3	6	+4.0
Jamal Murray	47:45	15	33	0.5	3	14	0.2	6	7	0.9	0	5	5	6	1	0	4	2	39	-11.0
Tim Hardaway Jr.	41:32	6	8	0.8	4	6	0.7	3	3	1.0	0	6	6	2	1	0	1	2	19	-9.0
Jonas Valančiūnas	12:47	1	1	1.0	0	0	0.0	0	0	0.0	0	3	3	2	0	0	2	5	2	-12.0
Bruce Brown	37:42	4	9	0.4	2	4	0.5	0	0	0.0	1	4	5	0	3	1	2	1	10	-12.0
Julian Strawther	16:51	4	5	0.8	2	3	0.7	1	1	1.0	0	3	3	1	1	0	3	1	11	+4.0

## New York Knicks — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
OG Anunoby	47:57	7	17	0.4	4	9	0.4	2	2	1.0	3	5	8	4	0	0	0	3	20	+13.0
Mikal Bridges	48:29	2	8	0.2	1	6	0.2	0	0	0.0	1	3	4	4	1	1	0	4	5	-2.0
Karl-Anthony Towns	31:00	9	13	0.7	2	6	0.3	4	4	1.0	3	9	12	1	0	0	1	6	24	+12.0
Jalen Brunson	47:00	14	27	0.5	5	12	0.4	9	11	0.8	0	8	8	9	2	0	5	2	42	+13.0
Jordan Clarkson	23:40	5	7	0.7	1	2	0.5	0	0	0.0	0	1	1	1	0	0	1	1	11	-4.0
Mitchell Robinson	23:06	5	5	1.0	0	0	0.0	0	0	0.0	1	7	8	0	1	1	0	5	10	+3.0
Landry Shamet	35:50	6	15	0.4	4	10	0.4	0	0	0.0	1	1	2	3	0	0	1	2	16	+22.0
Kevin McCullar Jr.	2:06	0	1	0.0	0	0	0.0	0	0	0.0	0	1	1	2	0	0	0	0	0	+1.0
Mohamed Diawara	14:27	2	5	0.4	1	4	0.2	0	0	0.0	0	0	0	0	0	0	0	0	5	-6.0
Tyler Kolek	12:41	0	1	0.0	0	1	0.0	1	2	0.5	0	1	1	4	0	0	2	0	1	-9.0
Ariel Hukporti	3:40	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	1	0	0	-8.0
