## Memphis Grizzlies — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jaylen Wells	26:02	6	12	0.5	6	9	0.7	0	0	0.0	1	2	3	1	0	0	2	3	18	+6.0
GG Jackson	27:12	6	8	0.8	2	3	0.7	2	3	0.7	0	7	7	2	1	1	2	3	16	+9.0
Santi Aldama	24:08	4	10	0.4	2	6	0.3	2	4	0.5	1	5	6	0	1	2	1	3	12	+14.0
Cedric Coward	26:30	2	6	0.3	0	2	0.0	1	2	0.5	1	6	7	6	0	1	1	4	5	+11.0
Ty Jerome	20:41	10	14	0.7	3	4	0.8	5	6	0.8	1	0	1	7	1	0	0	2	28	+9.0
Kentavious Caldwell-Pope	22:29	6	9	0.7	1	3	0.3	2	2	1.0	0	2	2	2	1	0	2	3	15	+2.0
Jahmai Mashack	22:56	1	2	0.5	0	0	0.0	0	0	0.0	2	2	4	5	3	0	0	4	2	-5.0
Cam Spencer	26:52	7	13	0.5	3	7	0.4	3	3	1.0	1	2	3	5	0	0	3	0	20	-6.0
Javon Small	20:59	2	11	0.2	1	5	0.2	0	0	0.0	2	4	6	2	0	0	1	2	5	-11.0
Olivier-Maxence Prosper	22:10	1	5	0.2	0	2	0.0	6	8	0.8	2	3	5	0	1	0	1	2	8	-9.0

## Sacramento Kings — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
DeMar DeRozan	27:35	6	10	0.6	1	3	0.3	7	9	0.8	1	2	3	5	0	0	1	1	20	-4.0
De'Andre Hunter	26:25	3	11	0.3	2	4	0.5	1	2	0.5	0	2	2	1	0	0	1	5	9	-7.0
Domantas Sabonis	24:04	10	18	0.6	0	0	0.0	4	4	1.0	7	8	15	3	1	0	1	3	24	-12.0
Zach LaVine	22:11	3	9	0.3	1	3	0.3	4	4	1.0	1	0	1	0	1	0	1	2	11	-13.0
Russell Westbrook	25:36	5	14	0.4	3	10	0.3	0	0	0.0	0	0	0	5	1	0	2	1	13	0.0
Nique Clifford	25:49	5	9	0.6	2	3	0.7	2	2	1.0	0	3	3	5	0	0	4	0	14	+9.0
Dylan Cardwell	25:49	1	2	0.5	0	0	0.0	3	4	0.8	4	7	11	1	0	1	0	3	5	+9.0
Malik Monk	17:54	4	10	0.4	2	5	0.4	3	3	1.0	0	0	0	4	0	0	2	1	13	+2.0
Maxime Raynaud	20:47	3	5	0.6	0	2	0.0	0	0	0.0	1	4	5	0	0	0	0	1	6	-1.0
Devin Carter	23:50	5	12	0.4	0	6	0.0	0	0	0.0	0	6	6	5	1	1	1	4	10	-3.0
