## Minnesota Timberwolves — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Jaden McDaniels	39:43	8	13	0.6	1	3	0.3	2	2	1.0	0	1	1	4	0	2	1	3	19	-1.0
Julius Randle	35:35	7	18	0.4	1	4	0.2	2	4	0.5	4	0	4	4	0	0	3	2	17	-7.0
Rudy Gobert	32:53	4	4	1.0	0	0	0.0	2	5	0.4	2	10	12	2	1	1	0	3	10	+11.0
Anthony Edwards	37:46	11	23	0.5	1	8	0.1	7	10	0.7	0	8	8	5	3	1	2	1	30	-2.0
Donte DiVincenzo	31:00	5	11	0.5	5	9	0.6	0	0	0.0	2	4	6	5	0	0	1	4	15	+1.0
Naz Reid	28:39	6	13	0.5	4	7	0.6	1	2	0.5	3	5	8	3	1	0	0	4	17	+2.0
Bones Hyland	26:02	8	12	0.7	4	7	0.6	0	0	0.0	2	5	7	3	2	1	2	3	20	+3.0
Jaylen Clark	5:59	0	2	0.0	0	1	0.0	0	2	0.0	0	0	0	0	1	0	0	0	0	-1.0
Johnny Juzang	2:19	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	1	0	0	+2.0
Joe Ingles	0:01	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	+2.0

## Toronto Raptors — Box Score

PLAYER	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TO	PF	PTS	+/-
Brandon Ingram	35:03	10	22	0.5	3	6	0.5	2	3	0.7	1	5	6	4	0	1	0	3	25	+2.0
Scottie Barnes	36:37	8	11	0.7	0	0	0.0	6	8	0.8	1	9	10	8	1	1	3	2	22	+9.0
Collin Murray-Boyles	25:18	6	9	0.7	1	2	0.5	0	0	0.0	1	3	4	3	2	1	0	3	13	-14.0
RJ Barrett	28:21	4	12	0.3	2	4	0.5	3	5	0.6	1	5	6	1	1	2	4	4	13	-1.0
Immanuel Quickley	33:36	8	12	0.7	6	8	0.8	1	2	0.5	0	5	5	8	1	0	2	1	23	+2.0
Sandro Mamukelashvili	31:34	5	10	0.5	2	5	0.4	2	2	1.0	3	1	4	2	0	1	1	4	14	0.0
Jamal Shead	22:13	3	8	0.4	0	3	0.0	1	2	0.5	1	1	2	4	1	1	2	2	7	-1.0
Ja'Kobe Walter	14:15	1	3	0.3	1	3	0.3	0	0	0.0	0	0	0	1	0	0	1	0	3	-3.0
Gradey Dick	13:01	2	2	1.0	0	0	0.0	2	2	1.0	1	3	4	0	0	0	0	2	6	-4.0
